id,titre,date_in_db,date_candidate,precision,status,result_bucket,confidence,needs_human_review,recommendation,matched_article_fr,matched_article_en,wikidata_id
cf49875f-3d7d-4811-b5cf-8acf7c0fd5ec,Régence de la reine Bathilde,0657-01-01,0657-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,Bathilde,,Q237750
8f2d9e61-23a9-4b23-8ffc-5ce360678d3b,Décès de Denis Diderot,1784-01-01,1784-01-01,year,CONFIRMED,confirme,1,false,No change needed.,Denis Diderot,,Q448
2c9529d0-2493-4540-87c3-89a8e8e060f1,Concile Quinisexte à Constantinople,0692-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources externes fiables mentionnant spécifiquement l'année du Concile Quinisexte à Constantinople.,,,Q10551516
cd1d8f65-12f9-4fe7-80e4-6d8414889910,Instauration du service militaire de trois ans,1913-08-07,1913-01-01,year,CONFIRMED,confirme,0.9,false,No change needed.,,,Q2813643
8d5b0ff1-b5c6-4e6b-8620-85a7d5d119bd,Découverte du bacille de la peste par Yersin et Roux,1894-01-01,1894-01-01,year,CONFIRMED,confirme,1,false,Aucune recommandation nécessaire.,Peste et Choléra,,Q3376294
c00314d8-6382-41b1-b42e-7a8095b163ed,Décès du philosophe et écrivain Jean-Paul Sartre dans la capitale française,1980-01-01,1980-01-01,year,CONFIRMED,confirme,1,false,No change needed.,https://fr.wikipedia.org/wiki/Jean-Paul_Sartre,,Q9364
9f25ce00-53d9-4828-875c-b2d35572d1cc,Découverte du trésor de Panagyurishte,1949-01-01,1949-01-01,year,LIKELY_CORRECT,preuve_externe_faible,0,false,Ajouter des sources externes fiables pour confirmer l'année de la découverte.,,,
1df0e15c-7b2e-493a-adc9-cd17d0efbfd0,Découverte du tombeau de Philippe II de Macédoine,1977-01-01,1977-01-01,year,CONFIRMED,confirme,0.9,false,Aucune modification nécessaire.,,,Q167119
22b9a803-c718-480a-abdf-2afe9d65cf5f,Sacre de Lothaire à Reims,0954-01-01,0954-01-01,year,CONFIRMED,confirme,1,false,No change needed.,Lothaire (roi des Francs),,Q242832
69f29ba9-3001-450e-bb21-f34452249867,Bataille de Crète,1941-01-01,1941-01-01,year,CONFIRMED,confirme,0.9,false,Confirmer la date de 1941.,wikipedia_fr_article,,Q153316
3b965e1f-a963-49b8-8065-eb5e7c0252bc,Institution des Monts-de-piété,1515-01-01,,,INSUFFICIENT_EVIDENCE,absence_de_singularite,0,true,Reject the event as it describes a process rather than a singular event.,https://fr.wikipedia.org/wiki/Mont-de-pi%C3%A9t%C3%A9,,Q1297903
a8f51b34-3b3a-485b-b726-499256759e4d,Scandale du sang contaminé – procès,1993-01-01,1993-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,Confirmer la date de 1993 pour le procès lié au scandale du sang contaminé.,Affaire du sang contaminé,,Q928528
936af37d-5e60-4229-bc54-87ce8464bdb4,Synode d'Orléans : Condamnations pour hérésie,1022-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Rechercher des sources externes confirmant l'année 1022 pour le synode d'Orléans.,,,Q160598
