titre,epoque,status,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_les_pannoni_ee14d714.webp",""
"Germanicus capture Thusnelda","6","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_ce86f808.webp","Erreur d'insertion DB: value too long for type character varying(5)"
"Triomphe de Germanicus à Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_2bd7f994.webp",""
"Mort de Germanicus à Antioche","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_be9e5de1.webp",""
"Révolte de Sacrovir et Florus en Gaule","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_da66556e.webp",""
"Tibère se retire à Capri","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_aa15d19c.webp",""
"Révolte des Frisons","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_111e4031.webp",""
"Chute et exécution de Séjan","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/chute_et_ex_cution_de_s_jan_d17ec07c.webp",""
"Crise financière à Rome","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/crise_financi_re___rome_fdd236c3.webp",""
"Intervention romaine en Arménie contre les Parthes","Antiquité","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/intervention_romaine_en_arm_nie_contre_les_parthes_c235ebd9.webp",""
