id,current_title,current_date,decision,final_decision,proposed_title,proposed_date_iso,review_required,evidence_level,confidence,status,result_bucket,reasoning_short,recommendation
a48bbd06-c46f-455e-9e40-5998d815f3f4,Première attribution du Prix Goncourt,1901-12-01,UPDATE_DATE,REVIEW,,1903-12-21,true,A,0.9,DISPUTED_DATE,date_disputee,Wikipédia et Wikidata indiquent que le premier Prix Goncourt a été décerné le 21 décembre 1903. La description doit être mise à jour en conséquence.,Mettre à jour la date avec le 21 décembre 1903 et vérifier la description pour assurer la cohérence.
6ce54a90-a8cf-4704-b0b9-c0b77f798e18,Shakespeare écrit Hamlet,1601-01-01,UPDATE_TITLE,REVIEW,Publication d'Hamlet,1603-01-01,true,B,0.7,DISPUTED_DATE,date_disputee,La date de publication la plus communément admise est 1603. Le titre est plus précis en indiquant la publication plutôt que l'écriture.,Vérifier si 1603 est bien la date de publication la plus pertinente.
422d0fa7-49ce-4776-88e1-5a384c474ddc,Fondation de l' abbaye de Cluny par Guillaume le Pieux,0909-01-01,UPDATE_TITLE,REVIEW,Fondation de l'abbaye de Cluny,0909-01-01,true,B,0.8,DISPUTED_DATE,date_disputee,"Le titre actuel est trop long. Le titre proposé est plus concis et correspond à l'appellation standard. La date de 909 est retenue car elle est mentionnée dans la description et confirmée par une source Wikidata, bien qu'il y ait une incertitude avec 910.",Conserver la date de 909 et le titre simplifié. Vérifier si d'autres sources primaires peuvent confirmer la date exacte.
8b231105-86c5-4ae1-a7f4-5008c9b6cd2a,Création du Parc national de la Vanoise,1964-08-22,UPDATE_DATE,REVIEW,,1963-07-06,true,A,0.9,DISPUTED_DATE,date_disputee,"Wikidata indique la date de création au 6 juillet 1963. L'article Wikipédia en français ne donne pas de date précise, mais l'article en anglais indique que le premier parc national a été créé en 1963.",Mettre à jour la date avec la date la plus précise disponible sur Wikidata.
1bd4b610-4b8d-4fc4-904f-e76895f60efd,Siège,0885-01-01,UPDATE_BOTH,REVIEW,Siège de Paris (885-886),0885-01-01,true,A,0.9,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,Le titre actuel est trop vague. La description indique un siège de Paris qui s'étend sur deux années. Le titre doit être plus précis et la date doit correspondre au début du siège.,Mettre à jour le titre pour inclure la période du siège et conserver la date de début.
90ce3870-3e7d-4349-8fab-66fca7442f1c,Premières batailles entre Francs et Normands,0804-01-01,UPDATE_TITLE,REVIEW,Raids Vikings en Gaule franque,0804-01-01,true,B,0.8,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,Le titre initial est trop vague. 'Raids Vikings en Gaule franque' est plus précis et correspond à la description. L'année 804 marque le début de ces raids.,Vérifier si des raids plus spécifiques peuvent être identifiés pour cette année.
7a142d9d-89a5-4997-ae9b-9144caf558ab,Charles de Basse-Lorraine,0991-01-01,UPDATE_DATE,REVIEW,,0991-06-12,true,B,0.8,DISPUTED_DATE,date_disputee,"La description mentionne la capture en 991, mais l'article Wikipédia indique une mort le 12 juin 991. Wikidata donne des dates de décès différentes (992 et 993). Je privilégie la date de décès mentionnée dans l'article Wikipédia, car elle est plus précise.","Mettre à jour la date de l'événement avec la date de décès de Charles de Basse-Lorraine, soit le 12 juin 991."
14809096-67aa-421d-b011-941519b7cdfd,Achèvement du temple Ginkaku-ji à Kyoto,1498-01-01,REVIEW,REVIEW,,,true,C,0.5,DISPUTED_DATE,date_disputee,"La date d'achèvement du temple Ginkaku-ji est incertaine. Les sources disponibles indiquent des dates de début de construction différentes (1465 et 1490), ce qui rend difficile de déterminer la date d'achèvement avec certitude.","Rechercher des sources supplémentaires pour confirmer la date d'achèvement du temple Ginkaku-ji. En attendant, conserver la fiche en l'état avec le statut 'date disputée'."
fa26be3c-8d68-4313-acc6-a0c84390914f,"Mort d’Alfred le Grand, roi de Wessex",0899-01-01,UPDATE_DATE,REVIEW,Mort d'Alfred le Grand,0899-10-26,true,A,0.9,DISPUTED_DATE,date_disputee,La date du 26 octobre 899 est la plus précise et est corroborée par Wikipédia et Wikidata.,Mettre à jour la date de l'événement avec la date précise du 26 octobre 899.
423c7721-87a2-4ac3-ba08-42cac0ee3e7f,Le 'canular de l'homme de Piltdown',1912-01-01,KEEP,REVIEW,,,true,A,0.9,DISPUTED_DATE,date_disputee,"Le titre et la date correspondent à l'événement décrit. L'audit précédent a confirmé la date de 1912 comme étant la plus pertinente pour l'emballement médiatique autour de la ""découverte"".",Conserver la fiche en l'état.
