id,current_title,current_date,decision,final_decision,proposed_title,proposed_date_iso,review_required,evidence_level,confidence,status,result_bucket,reasoning_short,recommendation
a48bbd06-c46f-455e-9e40-5998d815f3f4,Première attribution du Prix Goncourt,1901-12-01,UPDATE_DATE,REVIEW,,1903-12-21,true,A,0.9,DISPUTED_DATE,date_disputee,Wikipédia et Wikidata indiquent que la première attribution du Prix Goncourt a eu lieu le 21 décembre 1903. La description doit être mise à jour en conséquence.,Mettre à jour la date avec le 21 décembre 1903 et vérifier la description pour assurer la cohérence.
6ce54a90-a8cf-4704-b0b9-c0b77f798e18,Shakespeare écrit Hamlet,1601-01-01,UPDATE_TITLE,REVIEW,Publication d'Hamlet,1603-01-01,true,B,0.7,DISPUTED_DATE,date_disputee,La date de publication la plus communément admise est 1603. Le titre est plus précis que l'écriture.,Vérifier si d'autres publications ont eu lieu avant 1603 et ajuster la date en conséquence.
422d0fa7-49ce-4776-88e1-5a384c474ddc,Fondation de l' abbaye de Cluny par Guillaume le Pieux,0909-01-01,UPDATE_TITLE,REVIEW,Fondation de l'abbaye de Cluny,0909-01-01,true,B,0.8,DISPUTED_DATE,date_disputee,"Le titre est amélioré en supprimant la mention de Guillaume le Pieux, car l'événement principal est la fondation de l'abbaye. La date de 909 est retenue comme date de fondation, bien qu'il existe une incertitude avec 910. Plusieurs sources mentionnent 909 ou 910.","Conserver la date de 909 comme date de fondation, mais mentionner l'incertitude avec 910 dans la description détaillée."
8b231105-86c5-4ae1-a7f4-5008c9b6cd2a,Création du Parc national de la Vanoise,1964-08-22,UPDATE_DATE,REVIEW,,1963-07-06,true,A,0.9,DISPUTED_DATE,date_disputee,"Wikidata indique la date de création au 6 juillet 1963. L'article Wikipédia en français ne donne pas de date précise, mais l'article en anglais indique que le premier parc national a été créé en 1963.",Mettre à jour la date avec la date la plus précise disponible sur Wikidata.
1bd4b610-4b8d-4fc4-904f-e76895f60efd,Siège,0885-01-01,UPDATE_BOTH,REVIEW,Siège de Paris (885-886),0885-01-01,true,A,0.9,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,Le titre actuel est trop vague. La description indique un siège de Paris qui s'étend sur deux années. Le titre doit être plus précis et la date doit correspondre au début du siège.,Mettre à jour le titre pour inclure la période du siège et conserver la date de début.
90ce3870-3e7d-4349-8fab-66fca7442f1c,Premières batailles entre Francs et Normands,0804-01-01,UPDATE_TITLE,REVIEW,Raids Vikings en Gaule,0804-01-01,true,B,0.8,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,Le titre initial est trop vague. 'Raids Vikings en Gaule' est plus précis et correspond à la description. L'année 804 est mentionnée dans la description comme le début de ces raids.,"Vérifier si l'on peut identifier un raid spécifique en 804 pour singulariser l'événement. Sinon, considérer une formulation plus générale."
7a142d9d-89a5-4997-ae9b-9144caf558ab,Charles de Basse-Lorraine,0991-01-01,UPDATE_DATE,REVIEW,,0991-06-12,true,B,0.8,DISPUTED_DATE,date_disputee,"La description mentionne la capture en 991. L'article Wikipédia indique une mort le 12 juin 991. Wikidata donne des dates de décès différentes (992 et 993). Je privilégie la date de décès donnée par Wikipédia, car elle est plus précise et cohérente avec la capture en 991.","Mettre à jour la date de l'événement avec la date de décès de Charles de Basse-Lorraine, soit le 12 juin 991."
14809096-67aa-421d-b011-941519b7cdfd,Achèvement du temple Ginkaku-ji à Kyoto,1498-01-01,REVIEW,REVIEW,,,true,C,0.5,DISPUTED_DATE,date_disputee,La date d'achèvement est incertaine. Wikidata indique des dates d'inception en 1465 et 1490. La date de 1498 n'est pas confirmée.,Rechercher des sources supplémentaires pour confirmer la date d'achèvement du temple Ginkaku-ji.
fa26be3c-8d68-4313-acc6-a0c84390914f,"Mort d’Alfred le Grand, roi de Wessex",0899-01-01,UPDATE_DATE,REVIEW,Mort d'Alfred le Grand,0899-10-26,true,A,0.9,DISPUTED_DATE,date_disputee,La date du 26 octobre 899 est la plus précise et est confirmée par Wikipédia et Wikidata.,Mettre à jour la date de l'événement avec la date précise du 26 octobre 899 et simplifier le titre.
423c7721-87a2-4ac3-ba08-42cac0ee3e7f,Le 'canular de l'homme de Piltdown',1912-01-01,KEEP,REVIEW,,,true,A,1,DISPUTED_DATE,date_disputee,Le titre et la date sont corrects et cohérents avec la description. L'événement est bien documenté et le titre est clair.,Aucune modification nécessaire.
01fd7b3a-12f9-40ae-ad19-7e3af9875f77,Ouverture du Musée de l’Homme,1938-01-01,UPDATE_DATE,REVIEW,,1937-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,"Wikidata indique 1937 comme date d'inception du musée. L'article Wikipédia confirme l'installation en 1937. Il est probable que l'ouverture au public ait eu lieu plus tard, mais l'inception est bien en 1937.","Mettre à jour la date avec 1937-01-01, date d'inception selon Wikidata et Wikipedia."
7a4815b7-a011-4e18-8296-fc9757be5b9b,Construction du Palais de Topkapi à Constantinople,1465-01-01,REVIEW,REVIEW,,,true,C,0.5,DISPUTED_DATE,date_disputee,"The exact year of construction is disputed between 1459, 1460, 1465 and 1475. Further investigation is needed to determine the most accurate date.",Investigate further sources to determine the most accurate year for the start of construction. Consider using a broader date range if a single year cannot be definitively established.
3864230e-c62d-40cd-bba5-ad3bf40df4c2,Guerre de la vache,1303-01-01,UPDATE_DATE,REVIEW,,1275-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,La date actuelle (1303) est incorrecte. Les sources indiquent que la Guerre de la Vache s'est déroulée entre 1275 et 1280. On prend 1275 comme date de début.,"Mettre à jour la date avec 1275-01-01. L'événement est une période, pas un événement singulier."
0a2255ae-f6a7-485e-932f-7300d729e74e,Création de la Société Royale de Médecine,1776-01-01,UPDATE_DATE,REVIEW,,1778-01-01,true,A,1,DISPUTED_DATE,date_disputee,La date de création de la Société Royale de Médecine est 1778 selon Wikipédia et Wikidata. La description est cohérente avec cette date.,Mettre à jour la date de création de la Société Royale de Médecine à 1778-01-01.
dcf7029a-124c-44d1-b070-1dbe112993d3,Conversion de Clovis,0498-12-25,UPDATE_DATE,REVIEW,,,true,A,0.9,DISPUTED_DATE,date_disputee,"La date de la conversion de Clovis est incertaine. Les sources indiquent que la date la plus probable est 498 ou 499, mais d'autres dates sont possibles. Il est préférable de ne pas préciser la date exacte dans la base de données.","Remplacer la date par 0498 ou 0499, ou indiquer que la date est incertaine."
63624f79-66c8-4b4c-97cd-ee142a1683ac,Début de la construction du château de Bran,1377-01-01,UPDATE_DATE,REVIEW,,1289-01-01,true,B,0.8,DISPUTED_DATE,date_disputee,"Wikidata indique 1289 comme date de début de construction. L'article Wikipedia ne donne pas d'année précise, mais mentionne une construction par les chevaliers Teutoniques au début du XIIIe siècle. 1289 est donc une date plus probable que 1377.",Mettre à jour la date de début de construction du château de Bran avec 1289.
af061fbf-abc7-462e-9513-079556cf4172,Inauguration du Musée d'Art Moderne de Lille Métropole,1974-01-01,UPDATE_DATE,REVIEW,,1983-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,"Wikipédia et Wikidata indiquent l'inauguration en 1983, contredisant la date actuelle de 1974. La description est cohérente avec l'inauguration en 1983.","Mettre à jour la date de l'inauguration avec la date de 1983, confirmée par plusieurs sources."
81f59240-be5b-4cc1-bfa6-3a2c13a67f55,Début de la prédication de Luther et des 95 thèses,1517-01-01,UPDATE_BOTH,REVIEW,Publication des 95 thèses,1517-10-31,true,A,0.9,DISPUTED_DATE,date_disputee,La date du 31 octobre 1517 est largement acceptée pour la publication des 95 thèses. Le titre est plus concis et standard.,Mettre à jour le titre et la date avec les valeurs proposées.
8ed1af99-f299-42bf-8600-8ecaf88d669b,Peary au pôle Nord,1909-01-01,UPDATE_TITLE,REVIEW,Revendication de Robert Peary d'avoir atteint le pôle Nord,1909-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,Le titre actuel est trop simple et ne reflète pas la controverse. Le titre proposé est plus précis et correspond à la description. La date est conservée car elle est mentionnée dans la description.,Vérifier si d'autres sources confirment la date exacte et la nature controversée de la revendication.
74cab55a-0fe8-44ae-ae21-0f3808675002,Lois Jim Crow (États-Unis),1877-01-01,DELETE,REVIEW,,,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,Les lois Jim Crow représentent une période de ségrégation et non un événement unique. La description et les sources confirment qu'il s'agit d'une série de lois appliquées sur plusieurs années.,Supprimer l'entrée car elle décrit une période historique et non un événement ponctuel.
4e675bbc-17a9-4d1e-9472-c82081437717,Naissance d'Armand d'Athos,1615-01-01,REVIEW,REVIEW,,,true,C,0.5,DISPUTED_DATE,date_disputee,"La date de naissance d'Armand d'Athos est incertaine (Wikidata: 1599, Wikipedia: 1615). Nécessite une vérification plus approfondie des sources primaires.",Vérifier les sources primaires pour déterminer la date de naissance exacte d'Armand de Sillègue d'Athos d'Hauteville.
02ffabbd-1ff2-4476-825b-4eed0edc0933,Ouverture du Taipei 101,2004-01-01,UPDATE_DATE,REVIEW,,2004-12-31,true,B,0.8,DISPUTED_DATE,date_disputee,"Wikipédia mentionne que le Taipei 101 était le plus grand gratte-ciel du monde de 2004 à 2010. Wikidata indique une date d'inception au 31 décembre 2005. Cependant, d'autres sources suggèrent une ouverture fin 2004. On va retenir fin 2004.","Mettre à jour la date au 31 décembre 2004, car c'est une date plausible compte tenu des informations disponibles."
5e7bce44-ad2d-4393-b1f0-43d9a016be0e,Mort de Gengis Khan,1227-01-01,UPDATE_DATE,REVIEW,,1227-08-00,true,B,0.8,DISPUTED_DATE,date_disputee,"La date exacte du décès de Gengis Khan est incertaine, mais les sources s'accordent sur le mois d'août 1227. On peut donc proposer une date au mois près.",Mettre à jour la date au mois d'août 1227.
badb8edc-93e7-4754-bb6d-e37be77dcf5a,Début de la christianisation de l’Irlande par saint Patrick,0432-01-01,UPDATE_DATE,REVIEW,Christianisation de l'Irlande,,true,C,0.6,DISPUTED_DATE,date_disputee,La date exacte du début de la christianisation de l'Irlande par Saint Patrick est incertaine. Le titre est simplifié pour être plus générique et sans date. La description reste cohérente avec le titre modifié.,"Indiquer une période plus large pour la date, par exemple le Ve siècle, ou laisser la date vide."
33f54e0d-3f1f-4fb6-9b00-ff452b4c5c0b,Seconde Guerre de l'Opium,1856-01-01,DELETE,REVIEW,,,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,La Seconde Guerre de l'Opium est un conflit qui s'est déroulé de 1856 à 1860. On ne peut donc pas lui attribuer une date précise.,Supprimer l'événement car il s'agit d'une période et non d'un événement ponctuel.
179860b6-c093-4e80-bcd2-1621b8d74c29,Révolte des Boxers,1900-10-01,UPDATE_DATE,REVIEW,,1899-08-01,true,A,0.8,DISPUTED_DATE,date_disputee,La date de début de la révolte des Boxers est plus précisément août 1899 selon Wikidata et Wikipedia. La description reste cohérente.,Mettre à jour la date au 1er août 1899.
4108d7ab-2aae-427a-be59-5a0b11fb3b14,Botticelli peint la Naissance de Vénus,1486-01-01,UPDATE_DATE,REVIEW,La Naissance de Vénus,,true,B,0.7,DISPUTED_DATE,date_disputee,Le titre est simplifié pour correspondre au nom de l'œuvre. La date est imprécise (1482-1485 selon Wikipedia). On ne peut pas retenir une date précise. La description reste cohérente.,Remplacer la date par une période plus large (1482-1485) ou une date imprécise (ex: 1483).
77254478-2741-4941-a997-c6e9a16324fd,Création de la Fédération abolitionniste internationale,1875-01-01,UPDATE_DATE,REVIEW,,1875-01-01,true,B,0.6,DISPUTED_DATE,date_disputee,"Wikipédia en français indique 1875 comme date de fondation, tandis que Wikidata indique 1877. Cependant, la description de l'événement mentionne déjà 1875. On conserve donc cette date.",Privilégier la date de 1875 mentionnée dans la description et sur Wikipédia en français.
93a5c3b3-f48b-43b4-acf1-d99f2a091275,Création de l'Organisation maritime internationale,1948-01-01,UPDATE_DATE,REVIEW,,1948-03-17,true,A,0.8,DISPUTED_DATE,date_disputee,Plusieurs sources (y compris le site de l'OMI elle-même) indiquent que la Convention portant création de l'Organisation maritime internationale a été adoptée le 6 mars 1948 et ouverte à la signature le 17 mars 1948. La date du 17 mars semble plus précise et pertinente pour la création effective de l'organisation.,"Mettre à jour la date au 17 mars 1948, date d'ouverture à la signature de la convention."
