id,titre,date_in_db,date_candidate,precision,status,result_bucket,confidence,needs_human_review,recommendation,matched_article_fr,matched_article_en,wikidata_id
b5dfd71f-299a-4bad-95bd-89c5774708aa,Découverte de Petra par Johann Burckhardt,1812-08-22,1812-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,Confirmer la date de 1812.,https://fr.wikipedia.org/wiki/Jean_Louis_Burckhardt,,Q39691
9dbcda6b-867f-4ce5-8a92-741c6d7fd42a,Début de la construction de Sainte-Sophie,0532-01-01,0532-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,Aucune modification nécessaire.,https://fr.wikipedia.org/wiki/Sainte-Sophie_(Constantinople),,Q12506
f906c637-8fe8-4534-a95e-d6dedbf020f2,Mission de saint Augustin en Angleterre,0597-01-01,0597-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.7,false,No change needed.,wikipedia_fr_article,,Q7592555
17a0aedf-3b23-4cfa-928c-bc95c55395fb,Deuxième exposition universelle de Paris,1878-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0,true,Provide external sources to confirm the year of the event.,,,
78394762-584d-4141-bdf5-43dd3e4cd1a8,Première émission régulière de Radio Paris,1923-01-01,,,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,0.2,true,Further research is needed to confirm the exact year of the first regular broadcast of Radio Paris.,Histoire de la radio à Paris,,Q3416969
8ddd5937-de6f-42fe-870e-a365ce593a25,Création du premier rein artificiel implantable,2018-01-01,,,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,0,true,Fournir des sources externes fiables pour valider l'année de la création du premier rein artificiel implantable.,,,
66bad4cd-00a2-41e5-b907-7e8f1ad81fb4,Deuxième conférence de La Haye,1930-01-01,,,INSUFFICIENT_EVIDENCE,absence_de_singularite,0,false,Reject due to ambiguity and lack of supporting evidence for a specific year.,,,Q36600
cbeb6771-80f6-49e4-b496-d7f7cd72f89a,Création du royaume d'Arles,0934-01-01,0934-01-01,year,CONFIRMED,confirme,0.9,false,Aucune modification nécessaire.,,,Q48292
0d47f90e-02dd-461d-ad0c-cc48c711362d,Crise des dettes souveraines en Europe,2010-01-01,,,INSUFFICIENT_EVIDENCE,absence_de_singularite,0,false,Reject the event as it describes a period and not a singular event.,,,Q3344452
07a6be06-aeab-4971-a206-c9c4b10a960a,Election de Raymond Poincaré à la présidence du Conseil,1912-01-01,1912-01-01,year,LIKELY_CORRECT,probable_mais_a_confirmer,0.8,false,Confirm the date as 1912.,https://fr.wikipedia.org/wiki/Raymond_Poincar%C3%A9,,Q191974
