id,kind,previous_title,previous_date,applied_title,applied_date,final_decision,confidence,evidence_level,status,result_bucket,source_run
a5de72c7-834f-455d-beab-cc320b5d73bc,UPDATE_DATE,Création du duché de Bourgogne,0888-01-01,,0880-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
3714820c-9157-4666-9dd8-f761c39039a2,UPDATE_DATE,Congrès de paix d'Utrecht,1712-01-01,,1713-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
a2b573d4-82a3-4da5-a17b-633810991fba,UPDATE_DATE,Construction de la cathédrale de Monreale en Sicile,1174-01-01,,1172-01-01,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
0e430afa-6bed-4a43-8b5f-e6bcd2063c13,UPDATE_DATE,Création de la Royal Society,1662-01-01,,1660-11-28,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
688c2636-81db-4ef2-a14e-ba4a12fcdb73,UPDATE_DATE,Début du projet ITER,2007-01-01,,2006-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
3a049f85-2ad8-44a6-9c63-48ef27afb3df,UPDATE_DATE,Bataille de Monte Castello,1114-01-01,,1944-11-25,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
2e4cc1e2-7803-434a-96a5-590f5847693a,UPDATE_DATE,Création du piano moderne,1709-05-14,,1720-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
4d5727db-c93a-465b-b913-0d2c55913e89,UPDATE_DATE,Fondation de l'Ordre de Fontevraud,1115-01-01,,1101-01-01,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
248f7bb5-c274-443c-8dcf-34a5d2232fd0,UPDATE_DATE,Début de la guerre de Succession d'Espagne,1702-01-01,,1701-03-01,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
107d3c36-20d5-44c9-b34a-46edd6523499,UPDATE_DATE,Mise en latin écrit de la Loi salique sous Clovis,0510-01-01,,0500-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
e7b1d255-86f1-4b69-842c-92dbe13e3668,UPDATE_DATE,Titien peint L'Assomption de la Vierge,1523-01-01,L'Assomption de la Vierge (Titien),1517-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
140c8d2c-331d-4527-8c6a-d3a11ea20c48,UPDATE_DATE,Création du premier parc national d'Abisko en Suède,1950-05-11,,1909-05-24,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
5f98a72c-b4f5-4264-95b2-ae32c2b4deb8,UPDATE_DATE,Brevet du pneu pneumatique (Dunlop),1888-01-01,,1889-01-01,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
4525e647-e914-4b28-8e07-19ab077f0209,UPDATE_DATE,Apparition du jeu d'échecs Chaturanga,0600-01-01,,0601-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
584df047-7e87-4111-ab23-1a1e44621ec1,UPDATE_DATE,Création de l’Union des sociétés françaises de sports athlétiques,1897-01-01,,1887-11-20,UPDATE_DATE,1,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
422c4576-ec61-45b1-b14e-b3f08dc3639f,UPDATE_DATE,Plotin fonde l'école néoplatonicienne,0244-01-01,,0246-01-01,UPDATE_DATE,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,historical-quality-pipeline-quality-overnight-sensitive.safe_updates.json
