id,current_title,current_date,final_decision,proposed_title,proposed_date_iso,confidence,evidence_level,status,result_bucket,recommendation,reasoning_short,delete_reason,applied_in_production,opinion
1bd4b610-4b8d-4fc4-904f-e76895f60efd,Siège,0885-01-01,UPDATE_TITLE,Siège de Paris,,0.9,A,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,Mettre à jour le titre pour inclure le lieu du siège.,"Le titre actuel est trop vague. La description indique un siège de Paris. Le titre doit être plus précis, mais sans la date car ce n'est pas une pratique courante pour les titres d'événements historiques.",,true,"Favorable : correction de titre solide, déjà appliquée en production."
5aee30ef-9b8e-45db-b3d2-8d8de47e17de,Loi SRU : obligation de construire des logements sociaux dans les communes,2001-01-01,UPDATE_DATE,,2000-12-01,0.9,A,POTENTIAL_DATE_ERROR,divergence_date,Mettre à jour la date au 1er décembre 2000.,La description indique clairement que la loi a été adoptée et promulguée en décembre 2000. Plusieurs sources confirment que la loi SRU a été promulguée le 13 décembre 2000. Utiliser le premier jour du mois est une simplification acceptable.,,true,"Favorable : correction de date solide, déjà appliquée en production."
9ea1ee91-53e4-4eaa-ae3a-b9a4259db0c4,Fondation de la Société protectrice des animaux,1824-01-01,UPDATE_BOTH,Fondation de la Société protectrice des animaux (France),1845-12-02,1,A,POTENTIAL_DATE_ERROR,divergence_date,Mettre à jour le titre et la date avec les informations validées.,"La date de fondation de la Société Protectrice des Animaux (SPA) en France est le 2 décembre 1845, comme confirmé par Wikidata et les articles Wikipédia en français et en anglais. Le titre est précisé pour éviter toute confusion avec d'autres organisations portant un nom similaire.",,true,"Favorable : recadrage titre + date solide, déjà appliqué en production."
97c63d94-fbd1-418d-a483-ddd2307d6893,Création des premiers zoos royaux à Versailles,1664-01-01,UPDATE_BOTH,Construction de la ménagerie royale de Versailles,1663-01-01,1,A,POTENTIAL_DATE_ERROR,divergence_date,Mettre à jour le titre et la date avec les informations de Wikipédia et Wikidata.,Le titre est plus précis en parlant de construction. La date de début de construction est 1663 selon Wikipédia et Wikidata.,,true,"Favorable : recadrage titre + date solide, déjà appliqué en production."
db116b09-c791-4bea-8dd0-be6571b08b92,"Collision d'un train du RER A en gare de Lyon à Paris, bilan lourd en victimes et blessés",1987-01-01,UPDATE_BOTH,Accident ferroviaire de la gare de Lyon,1988-06-27,1,A,POTENTIAL_DATE_ERROR,divergence_date,Mettre à jour le titre et la date de l'événement avec les informations issues de Wikipedia et Wikidata.,La date et le titre actuels sont incorrects. Les sources Wikipedia et Wikidata indiquent clairement que l'accident ferroviaire de la gare de Lyon a eu lieu le 27 juin 1988. Le titre doit être mis à jour pour correspondre à l'appellation standard.,,true,"Favorable : recadrage titre + date solide, déjà appliqué en production."
092cb36d-6879-4bdc-b093-6b8cbc967445,Guerre du Bien public - Bataille de Montlhéry,1467-01-01,UPDATE_BOTH,Bataille de Montlhéry,1465-07-16,1,A,POTENTIAL_DATE_ERROR,divergence_date,Mettre à jour le titre et la date de la bataille de Montlhéry.,La date de la bataille est le 16 juillet 1465 selon Wikipedia et Wikidata. Le titre doit être simplifié.,,true,"Favorable : recadrage titre + date solide, déjà appliqué en production."
1f46a839-7c18-4a5e-b653-db5130ca5232,Politique de non-intervention en Espagne de la France,1936-01-01,UPDATE_BOTH,Politique de non-intervention dans la guerre d'Espagne,1936-08-08,0.9,A,INSUFFICIENT_EVIDENCE,absence_de_singularite,Mettre à jour la date au début de la politique de non-intervention pendant la guerre civile espagnole. Mettre à jour le titre pour plus de précision.,La politique de non-intervention a été mise en œuvre pendant la guerre d'Espagne (1936-1939). La date du 8 août 1936 correspond à la déclaration officielle de non-intervention. Le titre est mis à jour pour plus de précision et pour correspondre à l'appellation la plus courante.,,true,"Favorable : recadrage titre + date solide, déjà appliqué en production."
72b75444-ab7b-4cf4-8e59-6a76be062b76,Ouverture du musée parisien consacré aux arts et civilisations non occidentales,2006-01-01,UPDATE_BOTH,Ouverture du musée du quai Branly - Jacques Chirac,2006-06-20,0.9,A,INSUFFICIENT_EVIDENCE,preuve_insuffisante,Mettre à jour la date avec la date correcte d'ouverture du musée et conserver le titre officiel.,"La date d'ouverture du musée du quai Branly est le 20 juin 2006, et non le 1er janvier 2006. Le titre est un peu long, mais c'est le nom officiel. Plusieurs sources concordantes confirment la date.",,true,"Favorable : recadrage titre + date solide, déjà appliqué en production."
17f1837a-c953-493b-b83b-de1d85049ec4,Le scandale du Crédit Mobilier,1867-01-01,UPDATE_DATE,Scandale du Crédit Mobilier,1872-01-01,0.9,A,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"Mettre à jour la date à 1872-01-01, date de l'éclatement du scandale.","Le scandale éclate en 1872, comme l'indique l'article Wikipédia. La date actuelle (1867) est donc incorrecte. Le titre est correct et correspond à l'appellation standard.",,true,"Favorable : correction de date solide, déjà appliquée en production."
0010b463-833c-4fb3-bbdb-b06c18f4bd58,Soulèvement de Décembristes en Russie,1825-01-01,UPDATE_DATE,,1825-12-26,0.9,A,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Mettre à jour la date au 26 décembre 1825.,Le soulèvement des Décembristes a eu lieu le 26 décembre 1825 (14 décembre selon le calendrier julien). De nombreuses sources confirment cette date.,,true,"Favorable : correction de date solide, déjà appliquée en production."
