Titre Événement,Types Événement,Modèle Utilisé,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Réforme monétaire de Solon à Athènes,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Compilation de la Loi des Douze Tables à Rome,"[""Juridique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Fondation de l'Académie de Platon,"[""Philosophique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Édit de l'empereur Ashoka sur la non-violence,"[""Religieux",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Mesure de la circonférence de la Terre par Ératosthène,"[""Scientifique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Invention de l'astrolabe planisphérique par Apollonios de Perga,"[""Scientifique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Instauration du système des examens impériaux en Chine,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Première utilisation du zéro comme nombre par Brahmagupta,"[""Mathématique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Concile iconoclaste de Hieria,"[""Religieux",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Première mention de la poudre à canon en Chine,"[""Technologique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Fondation de l'École de Chartres,"[""Philosophique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Rédaction du Canon de la Médecine par Avicenne,"[""Médical",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 9 (line 1 column 10)
Fondation de l'École de Traduction de Tolède,"[""Intellectuel",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 14 (line 1 column 15)
Début de la Croisade des Albigeois,"[""Religieux",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Première dissection humaine publique par Mondino de Luzzi,"[""Médical",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 9 (line 1 column 10)
Promulgation de la Bulle d'Or,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Construction de la première horloge mécanique à Salisbury,"[""Technologique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Invention de la double entrée en comptabilité par Luca Pacioli,"[""Économique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 12 (line 1 column 13)
Fondation de l'Empire Khmer et construction d'Angkor,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
Première utilisation de la boussole en navigation européenne,"[""Technologique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 15 (line 1 column 16)
Fondation de Carthage par les Phéniciens,"[""Politique",FLUX.1 [schnell],FAILED,,,Unterminated string in JSON at position 11 (line 1 column 12)
