id,current_title,current_date,current_description,status,result_bucket,original_decision,model_decision,proposed_title,proposed_date_iso,confidence,evidence_level,reasoning_short,recommendation,delete_reason,final_decision,reclassification_reason
2ef923ea-9571-468f-b22b-575c567e925d,Construction de la forteresse de Derbent,0465-01-01,"La construction de la forteresse de Derbent en 465 est attribuée à Yazdgard II, roi sassanide de Perse, dans le cadre d'une stratégie défensive contre les incursions des peuples nomades du nord, notamment les Huns et les Alains. Cette fortification visait à contrôler le passage étroit entre la mer Caspienne et les montagnes du Caucase, une voie d'invasion cruciale.",INSUFFICIENT_EVIDENCE,retrieval_insuffisant,REVIEW,UPDATE_DATE,,0438-01-01,0.9,B,"Wikidata (Q131416) indique une date de début de construction en 438. La description mentionne 465, ce qui est incohérent. La date de Wikidata est plus précise et semble plus fiable que l'information implicite dans la description actuelle.",Mettre à jour la date de construction de la forteresse de Derbent à 438 selon Wikidata et vérifier la description.,Collision documentaire non résolue : les sources récupérées ne correspondent pas clairement à l’événement décrit.,DELETE,Suppression des collisions documentaires sans convergence suffisante.
a219c013-a4ce-4913-9b83-d6fe52b84aec,L'arianisme devient dominant chez les Goths,0341-01-01,"341 : L'arianisme, hérésie niant la pleine divinité du Christ, s'impose chez les Goths. Cette adoption aura des conséquences majeures, distinguant durablement les Goths des Romains catholiques et influençant leurs relations.",INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,REVIEW,REVIEW,,,0.5,C,"L'adoption de l'arianisme par les Goths est un processus qui s'est étalé sur plusieurs années. La date de 341 est mentionnée, mais il est difficile de la confirmer comme un point de bascule unique. Les sources actuelles ne permettent pas de valider ou d'invalider la date avec certitude.",Nécessite une recherche plus approfondie pour déterminer si 341 est une date significative ou si une formulation plus générale est préférable.,Processus religieux progressif non réductible à un événement ponctuel datable proprement.,DELETE,Suppression demandée pour un processus long non ponctuel.
e3f160c4-b4d0-4e48-af6a-53037ca23f5a,Destruction de l'Université de Nalanda,1193-01-01,"La date de la destruction du centre universitaire de Nalanda est débattue, mais la date la plus souvent avancée par les historiens est environ 1193.",INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,REVIEW,UPDATE_DATE,Destruction de l'université de Nalanda,,0.8,B,La date exacte de la destruction est incertaine. Il est préférable de supprimer la date et de conserver le titre.,Supprimer la date car elle est incertaine. Le titre est correct et correspond à l'événement.,Date historique trop disputée et récupération documentaire non fiable pour maintenir une fiche ponctuelle propre.,DELETE,Suppression demandée pour un cas à année exacte introuvable avec sources non concordantes.
4ea1ec88-5820-42f3-9d1e-91e1a2facf66,Première photographie couleur,1861-01-01,"La première photographie couleur durable est réalisée, une étape cruciale dans l'histoire de la photographie. Cette avancée technique ouvre de nouvelles perspectives artistiques et scientifiques pour l'enregistrement des images.",INSUFFICIENT_EVIDENCE,absence_de_singularite,REVIEW,UPDATE_DATE,,1861-05-17,0.8,B,"La date du 17 mai 1861 correspond à la première démonstration publique de la photographie couleur par James Clerk Maxwell, ce qui est plus précis que le 1er janvier 1861.",Mettre à jour la date au 17 mai 1861 pour refléter la date précise de la première démonstration publique de la photographie couleur par James Clerk Maxwell.,Le titre décrit un processus long ou un phénomène non ponctuel.,DELETE,Suppression automatique des événements non singuliers ou processuels.
715f2030-129a-40cb-9a7f-a5eb99927f82,Premiers essais thermonucléaires (bombe H) par les États-Unis et l'URSS,1952-01-01,"Les États-Unis et l'URSS initient les premiers essais de bombes H, marquant une escalade majeure dans la course aux armements nucléaires de la Guerre Froide. Ces tests intensifient la menace d'une destruction mutuelle assurée.",INSUFFICIENT_EVIDENCE,absence_de_singularite,REVIEW,UPDATE_TITLE,Essais thermonucléaires,,0.7,B,"The current title refers to multiple events. The proposed title is more general and accurate, encompassing all tests. The description remains consistent with the broader topic.",Update the title to 'Essais thermonucléaires' to encompass all tests by different countries. Consider creating separate entries for specific significant tests if more details are available.,Le titre décrit un processus long ou un phénomène non ponctuel.,DELETE,Suppression automatique des événements non singuliers ou processuels.
875a318d-6eb9-4803-a51a-c5cdc2f4b65c,Université d'Oxford reçoit sa charte royale,1133-01-01,"1133 : Oxford, déjà foyer intellectuel bouillonnant, s'affirme. L'université, sans charte formelle encore, attire maîtres et érudits, jetant les bases de sa future renommée mondiale. Un tournant majeur pour l'éducation en Angleterre.",INSUFFICIENT_EVIDENCE,retrieval_insuffisant,REVIEW,REVIEW,,,0,C,La date de 1133 pour la charte royale de l'Université d'Oxford est incertaine. Les sources actuelles ne confirment pas cette date et concernent l'Université de Reading.,"Rechercher des sources fiables concernant la date d'octroi de la charte royale à l'Université d'Oxford. Vérifier si l'université a reçu une charte royale en 1133 ou si l'événement décrit est autre chose (par exemple, une reconnaissance inf…",Collision documentaire non résolue : les sources récupérées ne correspondent pas clairement à l’événement décrit.,DELETE,Suppression des collisions documentaires sans convergence suffisante.
1fc1c5f5-f7cb-4a58-afee-3a5db470ee0b,Invention du masque à gaz par John Stenhouse,1854-01-01,"En 1854, John Stenhouse invente le masque à gaz. Une avancée cruciale pour la protection respiratoire, notamment dans l'industrie et plus tard, sur les champs de bataille.",INSUFFICIENT_EVIDENCE,retrieval_insuffisant,REVIEW,REVIEW,,,0.6,C,"L'information semble plausible et cohérente avec la description, mais manque de sources externes solides pour confirmer la date exacte. On conserve en l'état, mais avec un niveau de confiance modéré.",Ajouter des sources pour renforcer la validation de la date de l'invention.,Collision documentaire non résolue : les sources récupérées ne correspondent pas clairement à l’événement décrit.,DELETE,Suppression des collisions documentaires sans convergence suffisante.
330167f0-ed31-4088-908a-d534a364b43f,Fondation du premier club d'échecs à Londres,1725-01-01,"Fondation du premier club d'échecs documenté à Londres. Cet événement marque l'essor de la pratique échiquéenne et de la sociabilité autour de ce jeu intellectuel en Angleterre, et préfigure l'organisation des échecs modernes.",INSUFFICIENT_EVIDENCE,retrieval_insuffisant,REVIEW,REVIEW,,,0,C,L'audit précédent a identifié des sources non pertinentes (Tottenham Hotspur). Il est nécessaire de trouver des sources fiables concernant l'histoire des échecs à Londres pour valider l'événement et sa date.,"Effectuer une recherche approfondie de sources historiques spécialisées sur les échecs à Londres au XVIIIe siècle pour confirmer l'existence et la date de fondation du premier club d'échecs. Privilégier les ouvrages d'histoire des échecs, …",Collision documentaire non résolue : les sources récupérées ne correspondent pas clairement à l’événement décrit.,DELETE,Suppression des collisions documentaires sans convergence suffisante.
af3ae39f-f4e7-406a-b85b-cf1c321e9cd9,Décision d'ouverture du projet du musée du quai Branly,1999-01-01,"La décision d'ouvrir le musée du quai Branly a été prise en 1999 par Jacques Chirac, alors Président de la République, afin de créer un lieu dédié aux arts et civilisations non occidentales, ouvrant ses portes au public en 2006. Cette initiative visait à corriger un déséquilibre dans la représentation des cultures au sein des institutions muséales françaises, traditionnellement centrées sur l'art occidental.",INSUFFICIENT_EVIDENCE,retrieval_insuffisant,REVIEW,UPDATE_TITLE,Création du musée du quai Branly,1999-01-01,0.9,B,"Le titre actuel est acceptable, mais ""Création du musée du quai Branly"" est plus concis et précis. La description confirme la date de 1999 comme l'année de la décision de création. Pas de sources externes directes, mais la description est cohérente.","Mettre à jour le titre pour plus de concision et de précision, tout en conservant la date de 1999.",Collision documentaire non résolue : les sources récupérées ne correspondent pas clairement à l’événement décrit.,DELETE,Suppression des collisions documentaires sans convergence suffisante.
9648d2b7-a1e9-4aaa-9c48-a9e344b3244c,Lancement du TGV Sud-Est,1981-01-01,"Le lancement du TGV Sud-Est en 1981 marque une étape majeure dans l'histoire ferroviaire française, symbolisant l'innovation et la modernité sous la présidence de François Mitterrand et avec le rôle clé de la SNCF. Il s'inscrit dans une volonté de développer un réseau de transport rapide et efficace.",INSUFFICIENT_EVIDENCE,retrieval_insuffisant,REVIEW,UPDATE_DATE,Lancement du TGV Sud-Est,1981-09-27,0.9,B,La date du 1er janvier est improbable. Plusieurs sources mentionnent le 27 septembre 1981 comme date de lancement. La description est cohérente.,Conserver la date du 27 septembre 1981 comme date de lancement du TGV Sud-Est.,Collision documentaire non résolue : les sources récupérées ne correspondent pas clairement à l’événement décrit.,DELETE,Suppression des collisions documentaires sans convergence suffisante.
