id,current_title,current_date,decision,final_decision,proposed_title,proposed_date_iso,review_required,evidence_level,confidence,status,result_bucket,reasoning_short,recommendation
a48bbd06-c46f-455e-9e40-5998d815f3f4,Première attribution du Prix Goncourt,1901-12-01,UPDATE_DATE,REVIEW,,1903-12-21,true,A,1,DISPUTED_DATE,date_disputee,"La date de la première attribution du Prix Goncourt est le 21 décembre 1903, selon Wikipédia et Wikidata. La description doit être mise à jour pour refléter cette date.",Mettre à jour la date à 1903-12-21 et modifier la description pour qu'elle corresponde à la date correcte.
6ce54a90-a8cf-4704-b0b9-c0b77f798e18,Shakespeare écrit Hamlet,1601-01-01,UPDATE_TITLE,REVIEW,Première publication d'Hamlet,1603-01-01,true,B,0.8,DISPUTED_DATE,date_disputee,La première publication d'Hamlet date de 1603. Le titre est plus précis que 'Shakespeare écrit Hamlet'.,"Vérifier s'il existe des preuves de publications antérieures à 1603, malgré la prédominance de cette date dans les sources."
422d0fa7-49ce-4776-88e1-5a384c474ddc,Fondation de l' abbaye de Cluny par Guillaume le Pieux,0909-01-01,UPDATE_BOTH,REVIEW,Fondation de l'abbaye de Cluny,0910-09-11,true,B,0.8,DISPUTED_DATE,date_disputee,"Le titre est amélioré en supprimant la mention de Guillaume le Pieux, car l'événement principal est la fondation de l'abbaye. La date la plus précise et la plus souvent mentionnée est le 11 septembre 910.",Mettre à jour la date au 11 septembre 910 et mentionner l'incertitude avec 909 dans la description détaillée.
8b231105-86c5-4ae1-a7f4-5008c9b6cd2a,Création du Parc national de la Vanoise,1964-08-22,UPDATE_DATE,REVIEW,,1963-07-06,true,A,0.9,DISPUTED_DATE,date_disputee,La date de création du Parc national de la Vanoise est le 6 juillet 1963 selon Wikidata (P571).,Mettre à jour la date de création avec la date la plus précise disponible sur Wikidata.
1bd4b610-4b8d-4fc4-904f-e76895f60efd,Siège,0885-01-01,UPDATE_TITLE,UPDATE_TITLE,Siège de Paris,,false,A,0.9,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,"Le titre actuel est trop vague. La description indique un siège de Paris. Le titre doit être plus précis, mais sans la date car ce n'est pas une pratique courante pour les titres d'événements historiques.",Mettre à jour le titre pour inclure le lieu du siège.
90ce3870-3e7d-4349-8fab-66fca7442f1c,Premières batailles entre Francs et Normands,0804-01-01,UPDATE_TITLE,REVIEW,Premiers raids vikings en Gaule franque,0804-01-01,true,B,0.9,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,"Le titre 'Raids Vikings en Gaule' est acceptable, mais 'Premiers raids vikings en Gaule franque' est plus précis et correspond mieux à la description. L'année 804 est mentionnée dans la description comme le début de ces raids. On considère cet événement comme singulier car il marque le début d'une série de raids.",Vérifier si des sources permettent de préciser la localisation exacte des raids. Croiser avec d'autres sources pour confirmer la date et la nature des raids.
7a142d9d-89a5-4997-ae9b-9144caf558ab,Charles de Basse-Lorraine,0991-01-01,UPDATE_DATE,REVIEW,,0991-06-12,true,A,0.9,DISPUTED_DATE,date_disputee,"La source Wikipédia en français indique clairement que Charles de Basse-Lotharingie est mort le 12 juin 991. La description mentionne des événements de 991, ce qui rend cette date cohérente.","Mettre à jour la date de l'événement au 12 juin 991, date du décès de Charles de Basse-Lotharingie."
14809096-67aa-421d-b011-941519b7cdfd,Achèvement du temple Ginkaku-ji à Kyoto,1498-01-01,REVIEW,REVIEW,,,true,C,0.5,DISPUTED_DATE,date_disputee,"La date d'achèvement du temple Ginkaku-ji est incertaine. Les sources actuelles indiquent des dates de début de construction en 1465 et 1490, mais pas de date d'achèvement claire. La date de 1498 reste non confirmée.",Rechercher des sources supplémentaires pour confirmer la date d'achèvement du temple Ginkaku-ji. Vérifier si la date de 1498 correspond à un événement significatif lié au temple.
fa26be3c-8d68-4313-acc6-a0c84390914f,"Mort d’Alfred le Grand, roi de Wessex",0899-01-01,UPDATE_BOTH,REVIEW,Mort d'Alfred le Grand,0899-10-26,true,A,1,DISPUTED_DATE,date_disputee,Le titre est simplifié et la date est mise à jour selon les sources Wikipédia et Wikidata (date de décès précise).,Mettre à jour le titre et la date de l'événement avec les informations les plus précises disponibles.
423c7721-87a2-4ac3-ba08-42cac0ee3e7f,Le 'canular de l'homme de Piltdown',1912-01-01,KEEP,REVIEW,,,true,A,1,DISPUTED_DATE,date_disputee,Le titre et la date sont corrects et cohérents avec la description. L'événement est bien documenté et le titre est clair.,Aucune modification nécessaire.
01fd7b3a-12f9-40ae-ad19-7e3af9875f77,Ouverture du Musée de l’Homme,1938-01-01,UPDATE_DATE,REVIEW,,1937-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,"Wikidata et Wikipédia indiquent 1937 comme date d'installation du musée dans le Palais de Chaillot. L'ouverture au public a pu être en 1938, mais l'événement initial est bien l'installation en 1937.","Mettre à jour la date avec 1937-01-01, date d'installation selon Wikidata et Wikipedia."
7a4815b7-a011-4e18-8296-fc9757be5b9b,Construction du Palais de Topkapi à Constantinople,1465-01-01,UPDATE_DATE,REVIEW,,1460-01-01,true,B,0.7,DISPUTED_DATE,date_disputee,"Wikidata indique 1460 comme date de début de construction, ce qui est cohérent avec la description qui mentionne le début de la construction après la prise de Constantinople en 1453.","Mettre à jour la date avec 1460-01-01, car c'est la date la plus ancienne et la plus fréquente dans les sources."
3864230e-c62d-40cd-bba5-ad3bf40df4c2,Guerre de la vache,1303-01-01,UPDATE_DATE,REVIEW,,1275-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,La date actuelle (1303) est incorrecte. Les sources indiquent que la Guerre de la Vache s'est déroulée entre 1275 et 1280. On prend 1275 comme date de début.,"Mettre à jour la date avec 1275-01-01. L'événement est une période, pas un événement singulier."
0a2255ae-f6a7-485e-932f-7300d729e74e,Création de la Société Royale de Médecine,1776-01-01,UPDATE_DATE,REVIEW,,1778-01-01,true,A,1,DISPUTED_DATE,date_disputee,La date de création de la Société Royale de Médecine est 1778 selon Wikipédia et Wikidata. La description est cohérente avec cette date.,Mettre à jour la date de création de la Société Royale de Médecine à 1778-01-01.
dcf7029a-124c-44d1-b070-1dbe112993d3,Conversion de Clovis,0498-12-25,UPDATE_DATE,REVIEW,,,true,A,0.9,DISPUTED_DATE,date_disputee,"La date exacte de la conversion de Clovis est incertaine et débattue par les historiens. Les sources suggèrent 498 ou 499 comme dates possibles, mais d'autres hypothèses existent.",Supprimer la date précise et indiquer une période plus large (fin du Ve siècle) ou mentionner l'incertitude de la date dans la description.
63624f79-66c8-4b4c-97cd-ee142a1683ac,Début de la construction du château de Bran,1377-01-01,UPDATE_DATE,REVIEW,,1289-01-01,true,B,0.9,DISPUTED_DATE,date_disputee,"Wikidata indique 1289 comme date de début de construction. L'article Wikipedia ne donne pas d'année précise, mais mentionne une construction par les chevaliers Teutoniques au début du XIIIe siècle. 1289 est donc une date plus probable que 1377.",Mettre à jour la date de début de construction du château de Bran avec 1289.
af061fbf-abc7-462e-9513-079556cf4172,Inauguration du Musée d'Art Moderne de Lille Métropole,1974-01-01,UPDATE_DATE,REVIEW,,1983-01-01,true,A,1,DISPUTED_DATE,date_disputee,"La date d'inauguration du musée est le 1er janvier 1983, selon Wikipédia et Wikidata. La description correspond à cette date.",Mettre à jour la date de l'événement avec la date du 1er janvier 1983.
81f59240-be5b-4cc1-bfa6-3a2c13a67f55,Début de la prédication de Luther et des 95 thèses,1517-01-01,UPDATE_BOTH,REVIEW,Publication des 95 thèses,1517-10-31,true,A,0.9,DISPUTED_DATE,date_disputee,La date du 31 octobre 1517 est largement acceptée pour la publication des 95 thèses. Le titre est plus concis et standard.,Mettre à jour le titre et la date avec les valeurs proposées.
8ed1af99-f299-42bf-8600-8ecaf88d669b,Peary au pôle Nord,1909-01-01,UPDATE_TITLE,REVIEW,Revendication de Robert Peary d'avoir atteint le pôle Nord,1909-01-01,true,A,0.9,DISPUTED_DATE,date_disputee,Le titre actuel est trop simple et ne reflète pas la controverse. Le titre proposé est plus précis et correspond à la description. La date est conservée car elle est mentionnée dans la description.,Vérifier si d'autres sources confirment la date exacte et la nature controversée de la revendication.
74cab55a-0fe8-44ae-ae21-0f3808675002,Lois Jim Crow (États-Unis),1877-01-01,DELETE,REVIEW,,,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,Les lois Jim Crow représentent une période de ségrégation et non un événement unique. La description et les sources confirment qu'il s'agit d'une série de lois appliquées sur plusieurs années.,Supprimer l'entrée car elle décrit une période historique et non un événement ponctuel.
4e675bbc-17a9-4d1e-9472-c82081437717,Naissance d'Armand d'Athos,1615-01-01,UPDATE_DATE,REVIEW,Naissance d'Armand de Sillègue d'Athos d'Hauteville,1615-01-01,true,B,0.7,DISPUTED_DATE,date_disputee,"Bien que Wikidata indique 1599, l'article Wikipédia en français mentionne 1615 comme date de naissance d'Armand de Sillègue d'Athos d'Hauteville, le personnage historique derrière le roman. Je privilégie la source Wikipédia en français, plus précise et contextualisée.",Mettre à jour la date de naissance à 1615-01-01 et le titre pour plus de précision.
02ffabbd-1ff2-4476-825b-4eed0edc0933,Ouverture du Taipei 101,2004-01-01,UPDATE_DATE,REVIEW,,2004-12-31,true,B,0.9,DISPUTED_DATE,date_disputee,Wikipédia mentionne que le Taipei 101 était le plus grand gratte-ciel du monde de 2004 à 2010. Wikidata indique une date d'inception au 31 décembre 2005. Plusieurs sources concordent sur une ouverture fin 2004.,"Mettre à jour la date au 31 décembre 2004, car c'est la date d'ouverture la plus probable."
5e7bce44-ad2d-4393-b1f0-43d9a016be0e,Mort de Gengis Khan,1227-01-01,UPDATE_DATE,REVIEW,,1227-08-00,true,A,0.9,DISPUTED_DATE,date_disputee,"Plusieurs sources, dont Wikipédia et Wikidata, indiquent que Gengis Khan est décédé en août 1227. Wikidata donne même des dates précises (18 et 25 août), mais il y a une incertitude sur le jour exact. Il est donc prudent de retenir le mois d'août 1227.",Mettre à jour la date au mois d'août 1227 (1227-08-00).
badb8edc-93e7-4754-bb6d-e37be77dcf5a,Début de la christianisation de l’Irlande par saint Patrick,0432-01-01,UPDATE_DATE,REVIEW,Christianisation de l'Irlande,,true,B,0.7,DISPUTED_DATE,date_disputee,"La date précise du début de la christianisation de l'Irlande par Saint Patrick est incertaine. Plusieurs sources indiquent des dates de naissance et de mort différentes pour Saint Patrick, ce qui rend difficile de déterminer une date précise pour le début de son activité missionnaire. Il est préférable de ne pas spéci…",Ne pas spécifier de date pour cet événement en raison de l'incertitude entourant la vie de Saint Patrick et le début de la christianisation de l'Irlande.
33f54e0d-3f1f-4fb6-9b00-ff452b4c5c0b,Seconde Guerre de l'Opium,1856-01-01,DELETE,REVIEW,,,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,La Seconde Guerre de l'Opium est un conflit qui s'est déroulé de 1856 à 1860. On ne peut donc pas lui attribuer une date précise.,Supprimer l'événement car il s'agit d'une période et non d'un événement ponctuel.
179860b6-c093-4e80-bcd2-1621b8d74c29,Révolte des Boxers,1900-10-01,UPDATE_DATE,REVIEW,,1899-08-01,true,A,0.9,DISPUTED_DATE,date_disputee,La date de début de la révolte des Boxers est plus précisément août 1899 selon Wikidata et Wikipedia. La description reste cohérente.,Mettre à jour la date au 1er août 1899.
4108d7ab-2aae-427a-be59-5a0b11fb3b14,Botticelli peint la Naissance de Vénus,1486-01-01,UPDATE_BOTH,REVIEW,La Naissance de Vénus,1483-01-01,true,B,0.7,DISPUTED_DATE,date_disputee,Le titre est simplifié pour correspondre au nom de l'œuvre. La date est imprécise (1482-1485 selon Wikipedia). On retient la date médiane de 1483. La description reste cohérente.,Remplacer le titre et la date par les valeurs proposées.
77254478-2741-4941-a997-c6e9a16324fd,Création de la Fédération abolitionniste internationale,1875-01-01,KEEP,REVIEW,,,true,A,1,DISPUTED_DATE,date_disputee,"La date de 1875 est cohérente avec la description et l'article Wikipédia en français. Bien que Wikidata indique 1877, la source Wikipédia est plus détaillée et confirme 1875. Le titre est clair et correspond à l'appellation standard.",Conserver la fiche telle quelle.
93a5c3b3-f48b-43b4-acf1-d99f2a091275,Création de l'Organisation maritime internationale,1948-01-01,UPDATE_DATE,REVIEW,,1948-03-17,true,A,0.9,DISPUTED_DATE,date_disputee,"L'audit précédent a identifié de manière convaincante le 17 mars 1948 comme date d'ouverture à la signature de la convention créant l'OMI, ce qui est plus précis que la date générique du 1er janvier 1948. Les sources clés identifiées dans l'audit précédent confirment cette date.","Mettre à jour la date au 17 mars 1948, date d'ouverture à la signature de la convention."
