id,current_title,current_date,decision,final_decision,proposed_title,proposed_date_iso,review_required,evidence_level,confidence,status,result_bucket,reasoning_short,recommendation
9ea1ee91-53e4-4eaa-ae3a-b9a4259db0c4,Fondation de la Société protectrice des animaux,1824-01-01,UPDATE_BOTH,UPDATE_BOTH,Fondation de la Société protectrice des animaux (France),1845-12-02,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,"La date de fondation de la Société Protectrice des Animaux (SPA) en France est le 2 décembre 1845, comme confirmé par Wikidata et les articles Wikipédia en français et en anglais. Le titre est précisé pour éviter toute confusion avec d'autres organisations portant un nom similaire.",Mettre à jour le titre et la date avec les informations validées.
97c63d94-fbd1-418d-a483-ddd2307d6893,Création des premiers zoos royaux à Versailles,1664-01-01,UPDATE_BOTH,UPDATE_BOTH,Construction de la ménagerie royale de Versailles,1663-01-01,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,Le titre est plus précis en parlant de construction. La date de début de construction est 1663 selon Wikipédia et Wikidata.,Mettre à jour le titre et la date avec les informations de Wikipédia et Wikidata.
db116b09-c791-4bea-8dd0-be6571b08b92,"Collision d'un train du RER A en gare de Lyon à Paris, bilan lourd en victimes et blessés",1987-01-01,UPDATE_BOTH,UPDATE_BOTH,Accident ferroviaire de la gare de Lyon,1988-06-27,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,La date et le titre actuels sont incorrects. Les sources Wikipedia et Wikidata indiquent clairement que l'accident ferroviaire de la gare de Lyon a eu lieu le 27 juin 1988. Le titre doit être mis à jour pour correspondre à l'appellation standard.,Mettre à jour le titre et la date de l'événement avec les informations issues de Wikipedia et Wikidata.
092cb36d-6879-4bdc-b093-6b8cbc967445,Guerre du Bien public - Bataille de Montlhéry,1467-01-01,UPDATE_BOTH,UPDATE_BOTH,Bataille de Montlhéry,1465-07-16,true,A,1,POTENTIAL_DATE_ERROR,divergence_date,La date de la bataille est le 16 juillet 1465 selon Wikipedia et Wikidata. Le titre doit être simplifié.,Mettre à jour le titre et la date de la bataille de Montlhéry.
1f46a839-7c18-4a5e-b653-db5130ca5232,Politique de non-intervention en Espagne de la France,1936-01-01,UPDATE_BOTH,UPDATE_BOTH,Politique de non-intervention dans la guerre d'Espagne,1936-08-08,true,A,0.9,INSUFFICIENT_EVIDENCE,absence_de_singularite,La politique de non-intervention a été mise en œuvre pendant la guerre d'Espagne (1936-1939). La date du 8 août 1936 correspond à la déclaration officielle de non-intervention. Le titre est mis à jour pour plus de précision et pour correspondre à l'appellation la plus courante.,Mettre à jour la date au début de la politique de non-intervention pendant la guerre civile espagnole. Mettre à jour le titre pour plus de précision.
72b75444-ab7b-4cf4-8e59-6a76be062b76,Ouverture du musée parisien consacré aux arts et civilisations non occidentales,2006-01-01,UPDATE_BOTH,UPDATE_BOTH,Ouverture du musée du quai Branly - Jacques Chirac,2006-06-20,true,A,0.9,INSUFFICIENT_EVIDENCE,preuve_insuffisante,"La date d'ouverture du musée du quai Branly est le 20 juin 2006, et non le 1er janvier 2006. Le titre est un peu long, mais c'est le nom officiel. Plusieurs sources concordantes confirment la date.",Mettre à jour la date avec la date correcte d'ouverture du musée et conserver le titre officiel.
3be1a606-f0d1-4676-b4e9-218fc5c04a88,Paiement par Charles le Chauve d'un tribut aux Normands pour épargner Paris,0852-01-01,UPDATE_BOTH,UPDATE_BOTH,Siège de Paris par les Vikings,0885-11-25,true,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"L'événement décrit correspond au siège de Paris par les Vikings, qui a débuté le 25 novembre 885. La date et le titre actuels sont incorrects. Les sources Wikipedia et Wikidata confirment cette date.",Mettre à jour le titre et la date avec les informations correctes.
dddc3233-649e-41ff-a3ed-c9a74bfba87a,Création de SOS Racisme – précurseurs et contexte,1980-01-01,UPDATE_BOTH,UPDATE_BOTH,Création de SOS Racisme,1984-01-01,true,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,La description mentionne la création de SOS Racisme en 1984. Le titre est plus clair sans la mention des précurseurs. De nombreuses sources confirment la création de SOS Racisme en 1984.,Mettre à jour le titre et la date avec la création effective de SOS Racisme en 1984.
4d322669-0e1f-4dc9-888b-96bc489e3489,Catastrophe de l’usine AZF de Toulouse – préparation du site,2001-01-01,UPDATE_BOTH,UPDATE_BOTH,Catastrophe de l'usine AZF,2001-09-21,true,A,0.9,INSUFFICIENT_EVIDENCE,absence_de_singularite,"Le titre actuel fait référence à la préparation du site, qui n'est pas l'événement principal. L'événement principal est l'explosion. La date doit être mise à jour à la date de l'explosion.",Mettre à jour le titre à 'Catastrophe de l'usine AZF' et la date à '2001-09-21' pour refléter l'événement réel.
1032f44d-56e6-432c-8ac3-55c56d899324,Renforcement du statut des Juifs par le régime de Vichy,1942-01-01,UPDATE_BOTH,UPDATE_BOTH,Statut des Juifs sous le régime de Vichy,1940-10-03,true,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"Le titre actuel est trop vague. Le titre proposé est plus précis et correspond à l'appellation courante. La date du 3 octobre 1940 correspond à la promulgation du premier Statut des Juifs par le régime de Vichy, un événement majeur. La description est cohérente avec cette date et ce titre.",Vérifier si d'autres statuts ou lois antisémites importants ont été promulgués à d'autres dates et créer des événements distincts si nécessaire.
24a352d6-3af4-482b-8e9c-c92ada39e8fb,Les Français approuvent la baisse du mandat présidentiel,2000-01-01,UPDATE_BOTH,UPDATE_BOTH,Référendum français sur le quinquennat,2000-09-24,true,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"Le titre actuel est factuel mais pas optimal. Le titre proposé est plus standard et correspond à l'appellation usuelle de l'événement. La date du 24 septembre 2000 est la date du référendum sur le quinquennat, confirmée par de nombreuses sources.",Vérifier l'orthographe et la grammaire du titre et de la description.
