id,current_title,current_date,status,result_bucket,final_decision,proposed_title,proposed_date_iso,confidence,evidence_level,recommendation,reasoning_short,delete_reason
a48bbd06-c46f-455e-9e40-5998d815f3f4,Première attribution du Prix Goncourt,1901-12-01,DISPUTED_DATE,date_disputee,REVIEW,,1903-12-21,0.9,A,Mettre à jour la date avec le 21 décembre 1903 et vérifier la description pour assurer la cohérence.,Wikipédia et Wikidata indiquent que la première attribution du Prix Goncourt a eu lieu le 21 décembre 1903. La description doit être mise à jour en conséquence.,
6ce54a90-a8cf-4704-b0b9-c0b77f798e18,Shakespeare écrit Hamlet,1601-01-01,DISPUTED_DATE,date_disputee,REVIEW,Publication d'Hamlet,1603-01-01,0.7,B,Vérifier si d'autres publications ont eu lieu avant 1603 et ajuster la date en conséquence.,La date de publication la plus communément admise est 1603. Le titre est plus précis que l'écriture.,
422d0fa7-49ce-4776-88e1-5a384c474ddc,Fondation de l' abbaye de Cluny par Guillaume le Pieux,0909-01-01,DISPUTED_DATE,date_disputee,REVIEW,Fondation de l'abbaye de Cluny,0909-01-01,0.8,B,"Conserver la date de 909 comme date de fondation, mais mentionner l'incertitude avec 910 dans la description détaillée.","Le titre est amélioré en supprimant la mention de Guillaume le Pieux, car l'événement principal est la fondation de l'abbaye. La date de 909 est retenue comme date de fondation, bien qu'il existe une incertitude avec 910. Plusieurs sources mentionnent 909 ou 910.",
8b231105-86c5-4ae1-a7f4-5008c9b6cd2a,Création du Parc national de la Vanoise,1964-08-22,DISPUTED_DATE,date_disputee,REVIEW,,1963-07-06,0.9,A,Mettre à jour la date avec la date la plus précise disponible sur Wikidata.,"Wikidata indique la date de création au 6 juillet 1963. L'article Wikipédia en français ne donne pas de date précise, mais l'article en anglais indique que le premier parc national a été créé en 1963.",
1bd4b610-4b8d-4fc4-904f-e76895f60efd,Siège,0885-01-01,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,REVIEW,Siège de Paris (885-886),0885-01-01,0.9,A,Mettre à jour le titre pour inclure la période du siège et conserver la date de début.,Le titre actuel est trop vague. La description indique un siège de Paris qui s'étend sur deux années. Le titre doit être plus précis et la date doit correspondre au début du siège.,
90ce3870-3e7d-4349-8fab-66fca7442f1c,Premières batailles entre Francs et Normands,0804-01-01,AMBIGUOUS_TITLE,titre_ambigu_ou_collision,REVIEW,Raids Vikings en Gaule,0804-01-01,0.8,B,"Vérifier si l'on peut identifier un raid spécifique en 804 pour singulariser l'événement. Sinon, considérer une formulation plus générale.",Le titre initial est trop vague. 'Raids Vikings en Gaule' est plus précis et correspond à la description. L'année 804 est mentionnée dans la description comme le début de ces raids.,
7a142d9d-89a5-4997-ae9b-9144caf558ab,Charles de Basse-Lorraine,0991-01-01,DISPUTED_DATE,date_disputee,REVIEW,,0991-06-12,0.8,B,"Mettre à jour la date de l'événement avec la date de décès de Charles de Basse-Lorraine, soit le 12 juin 991.","La description mentionne la capture en 991. L'article Wikipédia indique une mort le 12 juin 991. Wikidata donne des dates de décès différentes (992 et 993). Je privilégie la date de décès donnée par Wikipédia, car elle est plus précise et cohérente avec la capture en 991.",
14809096-67aa-421d-b011-941519b7cdfd,Achèvement du temple Ginkaku-ji à Kyoto,1498-01-01,DISPUTED_DATE,date_disputee,REVIEW,,,0.5,C,Rechercher des sources supplémentaires pour confirmer la date d'achèvement du temple Ginkaku-ji.,La date d'achèvement est incertaine. Wikidata indique des dates d'inception en 1465 et 1490. La date de 1498 n'est pas confirmée.,
fa26be3c-8d68-4313-acc6-a0c84390914f,"Mort d’Alfred le Grand, roi de Wessex",0899-01-01,DISPUTED_DATE,date_disputee,REVIEW,Mort d'Alfred le Grand,0899-10-26,0.9,A,Mettre à jour la date de l'événement avec la date précise du 26 octobre 899 et simplifier le titre.,La date du 26 octobre 899 est la plus précise et est confirmée par Wikipédia et Wikidata.,
423c7721-87a2-4ac3-ba08-42cac0ee3e7f,Le 'canular de l'homme de Piltdown',1912-01-01,DISPUTED_DATE,date_disputee,REVIEW,,,1,A,Aucune modification nécessaire.,Le titre et la date sont corrects et cohérents avec la description. L'événement est bien documenté et le titre est clair.,
