id,titre,date_in_db,date_candidate,precision,status,confidence,needs_human_review,recommendation,matched_article_fr,matched_article_en,wikidata_id
bcef7286-8af8-4de4-861b-93524a58ed9c,Bataille d'Antietam pendant la Guerre de Sécession américaine,1862-01-01,1862-01-01,year,CONFIRMED,1,false,Confirmer la date de 1862.,https://fr.wikipedia.org/wiki/Bataille_d%27Antietam,,Q719252
ba77b7be-1c5a-4b91-aad5-e6268d5fa7ef,Installation des Huns en Pannonie,0400-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Rechercher des sources historiques fiables qui mentionnent l'année exacte de l'installation des Huns en Pannonie.,,,Q170062
e24d290e-27e6-4078-ad93-ae10420b7e3b,Construction du premier drakkar viking,0800-01-01,,,INSUFFICIENT_EVIDENCE,0.2,true,Reject. The event describes a period of development rather than a specific event in a single year.,Bateau viking,,Q211969
329af70b-9ad5-403a-97b3-6d22184ed9c8,"Bataille de la Boyne en Irlande, soutenue par Louis XIV",1690-01-01,1690-01-01,year,CONFIRMED,0.9,false,Aucune action nécessaire.,,,Q1248605
c2151d9a-77b5-4037-8634-a58b2c4b4948,Le Rouge et le Noir,1830-01-01,1830-01-01,year,CONFIRMED,0.9,false,No change needed.,wikipedia_fr_article,wikipedia_en_article,Q192649
7c985eed-ccfa-4fc9-8db6-3b41923d7ca3,Début du règne de Kubilai Khan en Chine,1260-01-01,1260-01-01,year,CONFIRMED,0.9,false,No changes needed.,https://fr.wikipedia.org/wiki/Kubilai_Khan,,Q7523
fecb1136-e133-4f41-87f0-1909cdfe8552,Construction du premier moulin à papier en Espagne,1148-01-01,1148-01-01,year,LIKELY_CORRECT,0.7,false,Vérifier si d'autres sources confirment l'année exacte de la construction du premier moulin à papier en Espagne.,Moulin à papier,,Q56316683
f3f761ad-6917-4f20-a72b-04271a165a87,Invention de la presse à caractères mobiles en métal,1450-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Search for sources that explicitly state the year of Gutenberg's invention of the printing press with movable type.,https://fr.wikipedia.org/wiki/Presse_typographique,,Q144334
4044438d-a113-4430-bea8-88906c78f90c,Bataille de Strasbourg,0357-01-01,0357-01-01,year,CONFIRMED,0.9,false,None,wikipedia_fr_article,,Q1367199
03b4cb7e-92c9-4fee-99db-d609f29824f1,Ouverture de l’École normale supérieure de jeunes filles,1880-01-01,1880-01-01,year,CONFIRMED,0.9,false,Rechercher des sources externes confirmant l'année d'ouverture de l'École normale supérieure de jeunes filles.,,,Q273605
dd775c13-07d0-4e81-bd79-983b9dfc44c3,Lancement du satellite Astérix,1965-01-01,1965-01-01,year,CONFIRMED,0.9,false,No change needed.,,,Q42490
24caa122-92d7-4d3d-9d43-a579a8b4b29a,Tiger Woods remporte le Masters d'Augusta,1997-01-01,1997-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,Tiger Woods,,Q10993
bf8cd60b-d629-4d60-94b7-939f9ce6cad8,Visite officielle de Nixon en France,1972-01-01,1972-01-01,year,LIKELY_CORRECT,0.8,false,Confirmer l'année 1972 comme date de la visite officielle de Nixon en France.,,,Q862054
86066506-ec28-463a-8184-b96052db4fc6,Première école pour filles en Nouvelle-France,1684-01-01,null,null,INSUFFICIENT_EVIDENCE,0,true,"Rechercher des sources externes fiables (archives, publications historiques) qui confirment l'année exacte de la fondation de la première école pour filles en Nouvelle-France.",,,Q481762
4d463e9d-e098-44ff-9832-d9671c89d969,Invention du World Wide Web par Tim Berners-Lee,1989-01-01,1989-01-01,year,CONFIRMED,0.9,false,None,World Wide Web,,Q466
238d525c-6f84-483c-9978-99aa81697d71,Programme national de construction des logements sociaux,1950-01-01,1950-01-01,year,CONFIRMED,0.9,false,No change needed.,,,Q3366840
90fdcad4-bc33-49f2-b6ee-1a117ecb8dde,Jean-Marie Lustiger nommé archevêque de Paris,1981-01-01,1981-01-01,year,CONFIRMED,0.9,false,Confirmer la date de 1981 comme année de nomination.,wikipedia_fr_article,,Q168509
78e7b57d-a812-44c6-ba5b-8e2333856aae,Découverte du trésor de Guarrazar,1858-01-01,1858-01-01,year,CONFIRMED,0.9,false,Aucune.,Trésor de Guarrazar,,Q1552900
61668c0e-7383-4c97-b4c8-300b2a39abb1,Tacite publie Les Annales,0116-01-01,,,INSUFFICIENT_EVIDENCE,0.1,true,Rechercher des sources externes qui mentionnent l'année de publication des Annales de Tacite.,Tacite,,Q2161
874c3c37-75d0-41fc-82ae-f30a5d083e41,Grande peste de 664 en Angleterre,0664-01-01,0664-01-01,year,LIKELY_CORRECT,0.5,false,Ajouter des sources externes fiables confirmant l'année 664 pour la Grande peste en Angleterre.,,,
aa203e9f-c003-4282-b674-2e9385af4106,Défaite Otton II face aux Sarrasins en Calabre,0982-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Fournir des sources externes pour confirmer l'année de l'événement.,,,
cca30a6c-838b-41b2-8f6a-122fd8fe90f9,Identification de Toumaï,2001-01-01,,,INSUFFICIENT_EVIDENCE,0.1,true,Rechercher des sources externes mentionnant l'année de l'identification de Toumaï.,,,
3d20c02f-c5c5-40cf-802e-7e7f0880fea0,Traité d'alliance franco-américaine,1778-01-01,1778-01-01,year,CONFIRMED,1,false,No change needed.,https://fr.wikipedia.org/wiki/Alliance_franco-am%C3%A9ricaine,,Q2838107
54ed3b12-8eef-4afa-a582-6c28fbf442ec,Razzia d'Autun,0725-01-01,0725-01-01,year,LIKELY_CORRECT,0,false,Ajouter des sources externes fiables pour confirmer l'année de la razzia d'Autun.,,,
0744afad-e57d-4333-a9f9-6f0a435b1c24,Jacques Chirac élu Président de la République,1995-01-01,1995-01-01,year,CONFIRMED,0.9,false,No change needed.,https://fr.wikipedia.org/wiki/Jacques_Chirac,,Q2105
9a30da6f-724f-4b63-b66b-3e07626625ed,Inauguration du Chrysler Building,1930-01-01,1930-01-01,year,CONFIRMED,0.9,false,Confirm the year 1930 based on external sources.,Chrysler Building,,Q11274
19890bd9-ef01-400b-9777-bd254deb294a,Renforcement du corps expéditionnaire français en Indochine,1951-01-01,1951-01-01,year,LIKELY_CORRECT,0.7,false,Vérifier si des sources plus spécifiques confirment le renforcement en 1951.,Guerre d'Indochine,,Q748780
edbde074-6cac-4d57-9566-1ec94ab82e0e,"Invention du rugby à sept à Melrose, en Écosse",1883-01-01,1833-01-01,year,POTENTIAL_DATE_ERROR,1,false,No change needed.,https://fr.wikipedia.org/wiki/Rugby_%C3%A0_sept,,Q270102
6e68e708-0020-4af7-92bf-a185a69af1d4,Loi française autorisant les femmes à ouvrir un compte,1907-01-01,1907-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,,,Q3030239
cdfcee59-4a6d-4f89-b444-c2ab8aa9e8c7,Exploration du fleuve Congo par Stanley,1877-01-01,1877-01-01,year,LIKELY_CORRECT,0.7,false,Confirmer l'année 1877 comme date de l'exploration du fleuve Congo par Stanley.,,,Q2984278
4ea1ec88-5820-42f3-9d1e-91e1a2facf66,Première photographie couleur,1861-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rejeter car l'événement décrit une période et non une année unique.,Photographie couleur,,Q166509
2a94e6ec-135a-42cd-b30b-ddf2f8d260f5,Victoire des Francs sur les Alamans dans la région du Neckar,0496-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources externes confirmant l'année 496 pour la bataille.,,,Q132990
2741a5dd-ada6-4b88-902b-afb4b05ded3c,Traversée du Groenland par Fridtjof Nansen,1888-01-01,1888-01-01,year,CONFIRMED,0.9,false,Aucune modification nécessaire.,Fridtjof Nansen,,Q72292
b5416066-b969-4e98-8d37-f144585c7844,Typhon dévastateur détruit la flotte mongole au Japon,1274-01-01,1274-01-01,year,LIKELY_CORRECT,0.8,false,Confirmer la date de 1274.,Invasions mongoles du Japon,,Q208156
571450ef-38e9-4450-bedc-f7b44d2cc5a3,Mort de Louis XVIII,1824-01-01,1824-01-01,year,CONFIRMED,0.9,false,Confirmer la date de 1824 comme année de la mort de Louis XVIII.,wikipedia_fr_article,wikipedia_en_article,Q131368075
59981d37-1250-4f4f-adf8-a2945e4e10c7,Début de l’empire Sassanide en Perse,0224-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Reject due to the event describing a period and not a specific year.,,,Q83311
420e814c-5732-4313-adfe-b36708fcf492,Traité de Jaffa entre Richard Cœur de Lion et Saladin,1192-01-01,1192-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,https://fr.wikipedia.org/wiki/Trait%C3%A9_de_Jaffa_(1192),,Q7837102
106d3b29-edb9-43ee-bd43-23d913208f26,Le Front Populaire en France,1936-01-01,1936-01-01,year,LIKELY_CORRECT,0.7,false,"Confirmer 1936 comme année de référence, en privilégiant la source Wikipedia FR qui détaille le contexte électoral.",wikipedia_fr_article,,Q1422284
89c6943e-6a1e-495d-8780-079d651d654a,Semaine des barricades à Alger,1960-01-01,1960-01-01,year,CONFIRMED,1,false,Confirmer la date de 1960.,wikipedia_fr_article,,Q2268876
58e73c23-a2e8-4a18-9b31-18b428d72fb4,Découverte de la fission nucléaire,1938-12-17,1938-01-01,year,CONFIRMED,0.9,false,Confirmation de la date de 1938.,https://fr.wikipedia.org/wiki/D%C3%A9couverte_de_la_fission_nucl%C3%A9aire,,Q1344449
a6d2c226-11bd-4de1-a5a5-74177d898930,Fondation de l'Académie platonicienne,1462-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources plus précises concernant la date de fondation de l'Académie platonicienne de Florence.,Académie platonicienne de Florence,,Q4579791
5bfdc9ee-d400-4eca-bd17-7d8019c3cbdd,Mystérieux brouillard sec en Europe,1808-01-01,1808-01-01,year,LIKELY_CORRECT,0.5,false,Fournir des sources externes pour confirmer l'année 1808.,,,
ca6e2437-256a-461c-88cf-5fadb8553ed4,Adoption de la CCNUCC,1992-01-01,1992-01-01,year,LIKELY_CORRECT,0,false,Fournir des sources externes pour confirmer l'année de l'adoption de la CCNUCC.,,,
e3c15391-81d3-41ba-91e1-63165fb7c298,Introduction du dindon en Europe,1520-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources externes fiables qui mentionnent une année précise pour l'introduction du dindon en Europe.,,,
24be0ddc-2b74-4d7c-a63a-103558bccb78,Publication de la Cosmographiae Introductio avec le nom America,1507-01-01,1507-01-01,year,CONFIRMED,1,false,No change needed.,Cosmographiae introductio,,Q195891
dfc7dea2-e5ab-4eb8-b09f-86ca0d724f4b,Premier Ballon d'Or hors Europe,1995-01-01,1995-01-01,year,LIKELY_CORRECT,0.8,false,Vérifier avec des sources externes pour confirmer l'année 1995.,,,
