id,titre,description,year,type,region,status,created_at
233,"Assassinat de Jean-Paul Marat par Charlotte Corday","Le 13 juillet 1793, Charlotte Corday poignarde le journaliste révolutionnaire Jean-Paul Marat dans sa baignoire médicinale à Paris.",1793,"null","null","pending","2026-03-04T07:23:29.975576+00:00"
234,"Adoption de la Constitution de l'An I","Le 24 juin 1793, la Convention nationale adopte la Constitution montagnarde, la plus démocratique de l'histoire française, bien qu'elle ne soit jamais appliquée en raison de la guerre.",1793,"null","null","pending","2026-03-04T07:23:29.993574+00:00"
235,"Instauration de la Terreur par décret","Le 5 septembre 1793, la Convention nationale décrète que 'la terreur est à l'ordre du jour', légitimant les exécutions massives d'opposants à la République.",1793,"null","null","pending","2026-03-04T07:23:30.003352+00:00"
236,"Victoire de Marengo","Le 14 juin 1800, Bonaparte remporte une victoire décisive contre les Autrichiens en Italie du Nord. Cette bataille renforce considérablement sa légitimité politique en France.",1800,"null","null","pending","2026-03-04T07:23:30.013846+00:00"
237,"Prise de la Bastille par les Parisiens","Le 14 juillet 1789, des émeutiers parisiens s'emparent de la forteresse royale de la Bastille, symbole de l'absolutisme royal. Cet événement marque le début de la Révolution française.",1789,"null","null","pending","2026-03-04T07:23:30.022465+00:00"
238,"Déclaration des Droits de l'Homme et du Citoyen","Le 26 août 1789, l'Assemblée nationale constituante adopte la Déclaration des Droits de l'Homme et du Citoyen. Ce texte fondamental proclame liberté, égalité et souveraineté nationale.",1789,"null","null","pending","2026-03-04T07:23:30.033373+00:00"
239,"Fondation de l'Estado da India par le Portugal","Le Portugal établit officiellement l'Estado da India le 27 mars 1505, un empire commercial maritime administrant ses comptoirs en Afrique orientale et en Asie. Francisco de Almeida en devient le premier vice-roi.",1505,"null","null","pending","2026-03-04T07:23:30.042255+00:00"
240,"Conquête de Goa par Afonso de Albuquerque","Le 25 novembre 1510, Afonso de Albuquerque s'empare de Goa sur la côte ouest de l'Inde, en faisant la capitale de l'empire portugais en Orient. Cette ville restera possession portugaise jusqu'en 1961.",1510,"null","null","pending","2026-03-04T07:23:30.050838+00:00"
241,"Prise de Malacca par les Portugais","Le 24 juillet 1511, Afonso de Albuquerque conquiert Malacca, verrou stratégique du commerce des épices en Asie du Sud-Est. Cette victoire donne au Portugal le contrôle du passage vers les îles aux épices.",1511,"null","null","pending","2026-03-04T07:23:30.061076+00:00"
242,"Mort de Vasco de Gama à Cochin","Le 24 décembre 1524, Vasco de Gama meurt à Cochin (Inde) lors de son troisième voyage, alors qu'il venait d'être nommé vice-roi des Indes. Il est enterré en Inde avant que sa dépouille ne soit rapatriée au Portugal.",1524,"null","null","pending","2026-03-04T07:23:30.07015+00:00"
283,"Assemblage du module Unity de l'ISS par la navette Endeavour","Le 6 décembre 1998, la navette Endeavour emporte le module américain Unity et l'assemble à Zarya, formant le premier nœud habitable de l'ISS.",1998,"L'Ère Spatiale et la Conquête de l'Espace","","READY_FOR_IMAGE","2026-03-04T07:23:47.114109+00:00"
284,"Arrivée du premier équipage permanent à bord de l'ISS","Le 2 novembre 2000, l'équipage Expedition 1 composé de Bill Shepherd et des cosmonautes Gidzenko et Krikalev s'installe à bord de l'ISS, inaugurant une présence humaine continue en orbite.",2000,"L'Ère Spatiale et la Conquête de l'Espace","","READY_FOR_IMAGE","2026-03-04T07:23:47.114109+00:00"
302,"Départ de la 8e croisade depuis Aigues-Mortes","Le 1er juillet 1270, Louis IX appareille une nouvelle fois d'Aigues-Mortes, lançant la huitième croisade avec pour destination la Tunisie.",1270,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
285,"Désorbitage et chute de la station Mir","Le 23 mars 2001, la station spatiale russe Mir est volontairement désorbité après 15 ans de service, ses débris se dispersant dans l'océan Pacifique Sud.",2001,"L'Ère Spatiale et la Conquête de l'Espace","","READY_FOR_IMAGE","2026-03-04T07:23:47.114109+00:00"
286,"Lancement de Sergei Krikalev pour son premier séjour sur Mir","Le 18 mai 1991, Sergei Krikalev part pour Mir et se retrouvera bloqué en orbite lors de la dissolution de l'URSS, passant 311 jours dans l'espace, symbole de la transition spatiale post-soviétique.",1991,"L'Ère Spatiale et la Conquête de l'Espace","","READY_FOR_IMAGE","2026-03-04T07:23:47.114109+00:00"
287,"Première sortie extravéhiculaire conjointe américano-russe","Le 9 juillet 1992, des astronautes américains et russes effectuent ensemble une sortie extravéhiculaire lors de la mission STS-49, préfigurant la coopération future sur l'ISS.",1992,"L'Ère Spatiale et la Conquête de l'Espace","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
288,"Prise de Jérusalem par Saladin","Le 2 octobre 1187, Saladin, sultan ayyoubide, reprend Jérusalem aux croisés après 88 ans de domination chrétienne. La ville tombe après un siège de deux semaines, bouleversant l'Occident chrétien.",1187,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
289,"Bataille de Hattin","Le 4 juillet 1187, Saladin écrase l'armée des croisés près du lac de Tibériade. Cette défaite décisive ouvre la voie à la reconquête musulmane de la Terre Sainte.",1187,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
291,"Noyade de Frédéric Barberousse","Le 10 juin 1190, l'empereur germanique Frédéric Ier Barberousse se noie dans le fleuve Saleph en Anatolie. Sa mort provoque la désintégration de la puissante armée allemande de la croisade.",1190,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
292,"Massacre des prisonniers musulmans d'Acre par Richard Cœur de Lion","Le 20 août 1191, Richard Ier d'Angleterre fait exécuter environ 2 700 prisonniers musulmans devant Acre. Cet acte brutal est justifié par l'échec des négociations avec Saladin.",1191,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
293,"Capture de Richard Cœur de Lion par le duc d'Autriche","Le 21 décembre 1192, Richard Ier d'Angleterre est capturé près de Vienne par le duc Léopold V d'Autriche lors de son retour de croisade. Il sera emprisonné et libéré contre une rançon colossale.",1192,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
294,"Mort de Saladin à Damas","Le 4 mars 1193, Saladin, sultan d'Égypte et de Syrie, meurt à Damas d'une fièvre typhoïde à l'âge de 55 ans. Sa mort fragilise l'empire ayyoubide qu'il avait unifié.",1193,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
295,"Lancement officiel de la Quatrième Croisade par le pape Innocent III","En août 1202, les croisés se rassemblent à Venise pour embarquer vers la Terre Sainte, marquant le début de la Quatrième Croisade.",1202,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
296,"Signature du traité entre les croisés et Venise pour le transport maritime","En avril 1201, les envoyés des croisés signent avec le doge Enrico Dandolo un accord prévoyant le transport de 33 500 hommes vers l'Égypte.",1201,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
297,"Prise de Zara par les croisés au profit de Venise","Le 24 novembre 1202, les croisés s'emparent de la ville chrétienne de Zara (Dalmatie) pour rembourser leur dette envers Venise, provoquant leur excommunication.",1202,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
298,"Fuite de l'empereur byzantin Alexis III d'Ange de Constantinople","Le 17 juillet 1203, l'empereur Alexis III abandonne le trône et fuit Constantinople face à la pression des croisés, laissant la ville sans défense.",1203,"Les Croisades en Terre Sainte","","READY_FOR_IMAGE","2026-03-04T07:23:47.114109+00:00"
299,"Couronnement d'Alexis IV comme co-empereur de Byzance","Le 1er août 1203, Alexis IV est couronné co-empereur byzantin aux côtés de son père Isaac II, grâce au soutien militaire des croisés.",1203,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
300,"Assassinat d'Alexis IV par Alexis Doukas Murzuphle","Le 8 février 1204, Alexis IV est étranglé par Alexis Doukas, dit Murzuphle, qui s'empare du trône byzantin et rompt les accords avec les croisés.",1204,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
301,"Défaite des croisés à la bataille de La Mansourah","Le 8 février 1250, l'armée de Louis IX subit une lourde défaite à La Mansourah ; le frère du roi, Robert d'Artois, y trouve la mort.",1250,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
303,"Débarquement des croisés devant Carthage","Le 18 juillet 1270, l'armée de Louis IX débarque sur les ruines de Carthage, près de Tunis, pour tenter de convertir ou soumettre le sultan hafside.",1270,"Les Croisades en Terre Sainte","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
304,"Premier service postal aérien régulier aux États-Unis","Le 15 mai 1918, les États-Unis inaugurent leur premier service de courrier aérien régulier entre Washington et New York. Ce service préfigure le développement de l'aviation commerciale.",1918,"L'Aube de l'Aviation et la Conquête des Airs","","READY_FOR_IMAGE","2026-03-04T07:23:47.114109+00:00"
305,"Première traversée de l'Atlantique Nord sans escale","Le 14 juin 1919, John Alcock et Arthur Brown relient Terre-Neuve à l'Irlande en 16 heures à bord d'un Vickers Vimy. Cet exploit ouvre la voie aux liaisons transatlantiques aériennes.",1919,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
306,"Premier vol solo sans escale de New York à Paris (Lindbergh)","Le 21 mai 1927, Charles Lindbergh atterrit au Bourget après 33 heures de vol à bord du Spirit of St. Louis. Il devient le premier pilote à relier seul New York à Paris sans escale.",1927,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
307,"Inauguration de la première ligne commerciale transatlantique par dirigeable (Hindenburg)","Le 31 mars 1936, le dirigeable Hindenburg effectue son premier vol officiel, inaugurant une liaison régulière entre l'Allemagne et les États-Unis. Il symbolise l'apogée de l'ère des zeppelins.",1936,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
308,"Premier vol d'un avion à réaction (Heinkel He 178)","Le 27 août 1939, le Heinkel He 178 effectue le premier vol propulsé uniquement par un moteur à réaction. Cet essai en Allemagne marque le début de l'ère des avions à réaction.",1939,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
309,"Franchissement du mur du son par Chuck Yeager","Le 14 octobre 1947, le pilote américain Chuck Yeager dépasse la vitesse du son à bord du Bell X-1 au-dessus du désert de Mojave. Cet exploit ouvre l'ère de l'aviation supersonique.",1947,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
310,"Premier vol commercial du Comet, premier avion de ligne à réaction","Le 2 mai 1952, le De Havilland Comet effectue son premier vol commercial entre Londres et Johannesburg. Il devient le premier avion de ligne à réaction en service régulier dans le monde.",1952,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
311,"Premier vol du Boeing 747, premier avion gros porteur","Le 9 février 1969, le Boeing 747 effectue son vol inaugural depuis Everett, dans l'État de Washington. Surnommé 'Jumbo Jet', il révolutionne le transport aérien de masse.",1969,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
312,"Premier bombardement aérien de l'histoire en temps de guerre","Le 1er novembre 1911, le lieutenant italien Giulio Gavotti lâche à la main quatre grenades depuis son avion sur des troupes ottomanes en Libye. C'est le premier bombardement aérien militaire de l'histoire.",1911,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
313,"Premier engagement de chars blindés au combat (Somme)","Le 15 septembre 1916, les Britanniques déploient pour la première fois des chars Mark I lors de la bataille de la Somme. Cette innovation tactique annonce la fin de la guerre de tranchées statique.",1916,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
314,"Premier tir de la fusée V2, première arme balistique","Le 3 octobre 1942, l'Allemagne nazie réussit le premier tir opérationnel de la fusée V2 à Peenemünde. Conçue par Wernher von Braun, elle est le premier engin à atteindre l'espace et préfigure les fusées spatiales.",1942,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
315,"Lancement du premier sous-marin militaire diesel-électrique allemand (U-1)","Le 14 décembre 1906, l'Allemagne met en service l'U-1, son premier sous-marin à propulsion diesel-électrique. Ce type de bâtiment deviendra une arme redoutable lors de la guerre sous-marine de 1914-1918.",1906,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
316,"Première utilisation opérationnelle du sonar anti-sous-marin","En avril 1918, la Marine britannique déploie pour la première fois l'ASDIC (sonar) pour détecter les sous-marins allemands. Cette technologie, née de l'urgence du conflit, restera fondamentale tout au long du XXe siècle.",1918,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
317,"Premier bombardement stratégique d'une capitale européenne (Londres)","Le 19 janvier 1915, des zeppelins allemands larguent des bombes sur la côte anglaise, puis sur Londres le 31 mai. C'est la première fois qu'une capitale est bombardée depuis les airs, inaugurant la guerre aérienne totale.",1915,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
318,"Première transfusion sanguine conservée avec anticoagulant","Le 27 novembre 1914, le médecin canadien Lawrence Bruce Robertson réalise la première transfusion utilisant du sang conservé avec du citrate de sodium. Cette avancée, née des besoins du front, sauvera des millions de vies.",1914,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.114109+00:00"
336,"Record de vitesse absolu en avion établi par le Lockheed SR-71 Blackbird","Le 28 juillet 1976, le SR-71 Blackbird établit un record mondial de vitesse à 3 529,6 km/h, soit plus de Mach 3, un record pour un avion à réaction habité qui tient encore aujourd'hui.",1976,"L'Aube de l'Aviation et la Conquête des Airs","","VALIDATED_HISTORY","2026-03-04T07:23:47.142815+00:00"
