titre,status,style_utilise,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_les_pannoni_6ddf9a7a.webp",""
"Germanicus capture Thusnelda","FAILED","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_57ce3ab6.webp","Erreur d'insertion DB: value too long for type character varying(5)"
"Triomphe de Germanicus à Rome","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_3d6a4fb5.webp",""
"Mort de Germanicus à Antioche","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_97ffc1e4.webp",""
"Révolte de Sacrovir et Florus en Gaule","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_ac5aaf01.webp",""
"Tibère se retire à Capri","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_78c6e7e1.webp",""
"Révolte des Frisons","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_cd085881.webp",""
"Chute et exécution de Séjan","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/chute_et_ex_cution_de_s_jan_02a77591.webp",""
"Crise financière à Rome","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/crise_financi_re___rome_29bea2c0.webp",""
"Intervention romaine en Arménie contre les Parthes","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/intervention_romaine_en_arm_nie_contre_les_parthes_efe8fab3.webp",""
"Destitution de Ponce Pilate","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/destitution_de_ponce_pilate_b4dff277.webp",""
"Mort de Drusilla","FAILED","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_drusilla_04397959.webp","Erreur d'insertion DB: value too long for type character varying(5)"
"Complot de Gaetulicus et Lépidus contre Caligula","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/complot_de_gaetulicus_et_l_pidus_contre_caligula_7f04ae41.webp",""
"Caligula ordonne à ses troupes de ramasser des coquillages","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/caligula_ordonne___ses_troupes_de_ramasser_des_coq_1e417e02.webp",""
"Annexion de la Maurétanie par Rome","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/annexion_de_la_maur_tanie_par_rome_e97bf199.webp",""
"Mort d'Hérode Agrippa Ier ; la Judée redevient province romaine","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_d_h_rode_agrippa_ier___la_jud_e_redevient_pro_2c29c4d3.webp",""
"Annexion de la Thrace","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/annexion_de_la_thrace_54d44591.webp",""
"Célébration des Jeux Séculaires à Rome","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/c_l_bration_des_jeux_s_culaires___rome_d4b929dd.webp",""
"Scandale et exécution de Messaline","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/scandale_et_ex_cution_de_messaline_0ae29bb1.webp",""
"Claude épouse sa nièce Agrippine la Jeune","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/claude__pouse_sa_ni_ce_agrippine_la_jeune_61d74e05.webp",""
"Fondation de Cologne (Colonia Claudia Ara Agrippinensium)","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_cologne__colonia_claudia_ara_agrippin_6bb7a907.webp",""
"Achèvement de l'aqueduc de Claude (Aqua Claudia)","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/ach_vement_de_l_aqueduc_de_claude__aqua_claudia__4c1f1a1a.webp",""
"Empoisonnement de Britannicus","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/empoisonnement_de_britannicus_a84de4eb.webp",""
"Début des campagnes de Corbulon en Arménie","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/d_but_des_campagnes_de_corbulon_en_arm_nie_70716d35.webp",""
"Néron fait assassiner sa mère Agrippine","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/n_ron_fait_assassiner_sa_m_re_agrippine_c4f59370.webp",""
"Révolte de Boadicée en Bretagne (Britannia)","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_boadic_e_en_bretagne__britannia__7ed2bc6a.webp",""
"Tremblement de terre à Pompéi","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tremblement_de_terre___pomp_i_39676db5.webp",""
"Conjuration de Pison contre Néron","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/conjuration_de_pison_contre_n_ron_8b713da7.webp",""
"Néron participe aux Jeux Olympiques en Grèce","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/n_ron_participe_aux_jeux_olympiques_en_gr_ce_28ef9d58.webp",""
"Suicide de Néron et début de l'Année des Quatre Empereurs","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/suicide_de_n_ron_et_d_but_de_l_ann_e_des_quatre_em_6fa34f74.webp",""
"Vespasien devient empereur et met fin à la guerre civile","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/vespasien_devient_empereur_et_met_fin___la_guerre__7f3f4a9a.webp",""
"Triomphe de Vespasien et Titus pour la victoire en Judée","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_vespasien_et_titus_pour_la_victoire_en_5fb564e6.webp",""
"Annexion du royaume de Commagène","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/annexion_du_royaume_de_commag_ne_a7a1eb1c.webp",""
"Début de la construction du Temple de la Paix à Rome","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/d_but_de_la_construction_du_temple_de_la_paix___ro_9a31f9ec.webp",""
"Publication de l'Histoire Naturelle de Pline l'Ancien","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/publication_de_l_histoire_naturelle_de_pline_l_anc_c596faee.webp",""
"Avènement de l'empereur Domitien","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/av_nement_de_l_empereur_domitien_fe95cb81.webp",""
"Campagne de Domitien contre les Chattes","SUCCESS","Inconnu","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/campagne_de_domitien_contre_les_chattes_c8fa6f5f.webp",""
