id,titre,date_in_db,date_candidate,precision,status,confidence,needs_human_review,recommendation,matched_article_fr,matched_article_en,wikidata_id
86028f60-a212-4474-81cb-40ba9d5cb3ac,Grande Peste de Londres,1665-01-01,1665-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,wikipedia_fr_article,,Q917048
050efd83-8ca5-462e-8812-2a76feb7f2a3,Acte d'Union entre l'Angleterre et l'Écosse,1707-10-01,1707-01-01,year,CONFIRMED,0.9,false,Aucune révision nécessaire.,,https://en.wikipedia.org/wiki/Acte_d%27Union_entre_l%27Angleterre_et_l%27%C3%89cosse,Q22
b307e731-4816-4d96-ac65-18236a4dd221,Catastrophe du barrage de Vajont,1963-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources mentionnant explicitement l'année de la catastrophe du barrage de Vajont.,https://fr.wikipedia.org/wiki/Vajont,,Q53202
eafa3bf6-d1c9-4bd7-a4b4-7db085b8a328,Sixième croisade menée par Frédéric II,1228-01-01,,,INSUFFICIENT_EVIDENCE,0,false,Rejeter car l'événement décrit une période et non une année unique.,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_II_(empereur_du_Saint-Empire),https://en.wikipedia.org/wiki/Sixi%C3%A8me_croisade_men%C3%A9e_par_Fr%C3%A9d%C3%A9ric_II,Q130221
6f5d0335-2f1c-404e-b3fa-f3ee5cbe3703,Première de Turandot de Giacomo Puccini,1926-04-25,1926-01-01,year,CONFIRMED,1,false,Aucune recommandation nécessaire.,,https://en.wikipedia.org/wiki/Turandot,Q207990
75b09b93-d40a-4136-acdd-3c73bea2a77a,Prix Goncourt 1919 : Marcel Proust,1919-01-01,1919-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,wikipedia_fr_article,wikipedia_en_article,Q7199
9feb6fde-5b2c-479a-aa9b-d31817e8a6c5,Publication de Moby Dick d'Herman Melville,1851-01-01,1851-01-01,year,CONFIRMED,0.9,false,Aucune modification nécessaire.,wikipedia_fr_article,,Q174596
cc115b78-2ee0-479e-b837-c4235380759d,Bataille d'Ankara,1402-01-01,1402-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,wikipedia_fr_article,,Q209387
017d0982-d4ee-43d9-a742-96a8107f62d8,Bataille de Malplaquet (Grande Alliance),1709-01-01,1709-01-01,year,LIKELY_CORRECT,0.8,false,Confirmer avec des sources externes additionnelles la date de 1709 pour la bataille de Malplaquet.,,,Q552225
c7f2abb3-4448-434c-8584-80824fd9e7e2,Inauguration des Petronas Towers à Kuala Lumpur,1998-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Find a reliable source that specifies the exact year of the Petronas Towers inauguration.,,,Q12495
af9dfd29-f64a-415d-acab-bf7fc0fd1ed2,La gauche s'impose aux municipales avec la victoire de Jacques Chirac à Paris,1977-01-01,1977-01-01,year,CONFIRMED,0.9,false,No changes needed.,https://fr.wikipedia.org/wiki/Jacques_Chirac,,Q2105
97c63d94-fbd1-418d-a483-ddd2307d6893,Création des premiers zoos royaux à Versailles,1664-01-01,1663-01-01,year,POTENTIAL_DATE_ERROR,0.9,false,Confirmer la date de création de la ménagerie royale de Versailles comme étant 1663.,wikipedia_fr_article,,Q3333182
57978633-3141-48ff-b91c-bb89f8c97689,Création du Front populaire en France,1935-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources fiables mentionnant la date de création du Front populaire en France.,,,Q126487286
b2a6338b-9af5-48c2-bfb5-dceca32b672e,Wang Shuhe compile le Mai Jing (Classique des pouls),0266-01-01,,,INSUFFICIENT_EVIDENCE,0,true,Rechercher des sources plus précises indiquant l'année exacte de la compilation du Mai Jing par Wang Shuhe.,,https://en.wikipedia.org/wiki/Wang_Shuhe_compile_le_Mai_Jing_(Classique_des_pouls),Q200253
58388a8f-d0db-419e-9de0-5b47339cecc6,Mort de Jacques Chancel,2014-01-01,2014-01-01,year,CONFIRMED,1,false,Aucune.,wikipedia_fr_article,,Q3158494
6c00fb6e-8d90-42b0-acc9-28d1c394d3c9,Première de La Flûte enchantée de Mozart,1791-01-01,1791-01-01,year,CONFIRMED,1,false,Aucune modification nécessaire.,wikipedia_fr_article,,Q5064
471ff6b8-836b-4bfb-81fd-4601b8a386bd,Prix Nobel de physique pour les Curie et Becquerel,1903-01-01,1903-01-01,year,CONFIRMED,0.9,false,Aucune action nécessaire.,wikipedia_fr_article,,Q38104
