id,current_title,current_date,decision,final_decision,proposed_title,proposed_date_iso,review_required,evidence_level,confidence,status,result_bucket,reasoning_short,recommendation
2c9529d0-2493-4540-87c3-89a8e8e060f1,Concile Quinisexte à Constantinople,0692-01-01,UPDATE_TITLE,REVIEW,Concile Quinisexte,0692-01-01,true,A,1,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"Le titre est plus concis sans la localisation, qui est déjà dans la description. La date est conservée car elle est cohérente avec la description.",Vérifier si des sources plus précises existent pour la date.
b748197a-a7ea-49be-91e8-5c377092d1d0,Ouverture du Bon Marché,1852-01-01,REVIEW,REVIEW,,,true,C,0,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,L'audit précédent n'a pas trouvé de sources fiables confirmant la date. Il faut poursuivre la recherche de sources.,Rechercher des sources externes fiables mentionnant l'année exacte de l'ouverture du Bon Marché.
bb4d0e51-7bc6-4f21-9826-6c89ff74bcfc,Translation des reliques de saint Liboire,0836-01-01,REVIEW,REVIEW,,,true,C,0,INSUFFICIENT_EVIDENCE,preuve_insuffisante,The previous audit found insufficient evidence for the event. The provided sources do not confirm the translation of relics in 836. More research is needed to verify the date and event details.,Search for reliable historical sources that specifically mention the translation of the relics of Saint Liboire to Paderborn in 836. Verify the accuracy of the date and the details of the event.
1f46a839-7c18-4a5e-b653-db5130ca5232,Politique de non-intervention en Espagne de la France,1936-01-01,UPDATE_DATE,REVIEW,Politique de non-intervention en Espagne,1936-08-08,true,B,0.8,INSUFFICIENT_EVIDENCE,absence_de_singularite,The policy of non-intervention in Spain was implemented during the Spanish Civil War (1936-1939). The date of 1936-08-08 corresponds to the official declaration of non-intervention. The title is updated to remove 'de la France' as the policy was also adopted by the UK.,Update the date to the start of the non-intervention policy during the Spanish Civil War. Update the title to remove 'de la France'.
8a8fe801-579a-4203-a612-cb597b5e0379,Publication des Fleurs du mal de Baudelaire,1857-01-01,UPDATE_DATE,UPDATE_DATE,,1857-06-25,false,A,0.9,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,Plusieurs sources concordantes indiquent que la date de publication des Fleurs du mal est le 25 juin 1857. La description est cohérente avec cette date.,Mettre à jour la date de l'événement avec la date de publication correcte.
9ae696a1-b4f2-4e6d-9839-60a94b395f8a,Guerre civile en Bosnie-Herzégovine,1992-01-01,UPDATE_DATE,UPDATE_DATE,,1992-03-01,false,A,0.9,INSUFFICIENT_EVIDENCE,absence_de_singularite,"Wikidata indique le 1er mars 1992 comme date de début (inception) de la Bosnie-Herzégovine, ce qui correspond au début de la guerre civile. La description est cohérente avec cette date.",Mettre à jour la date de début de la guerre civile en Bosnie-Herzégovine au 1er mars 1992.
cbc0ecf8-3600-40e2-84bf-bd89f51906d0,Découverte des premiers métamatériaux,2000-01-01,UPDATE_TITLE,REVIEW,Métamatériaux : développement et applications,,true,B,0.7,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"The current title implies a single discovery event, while the description suggests a period of development. The proposed title reflects the broader context of the development and applications of metamaterials.",Change the title to reflect the development and applications of metamaterials rather than a single discovery event. The description supports this broader scope.
2ef923ea-9571-468f-b22b-575c567e925d,Construction de la forteresse de Derbent,0465-01-01,UPDATE_DATE,REVIEW,Construction de la forteresse de Derbent,0438-01-01,true,B,0.8,INSUFFICIENT_EVIDENCE,retrieval_insuffisant,"Wikidata indique une date de début de construction en 438. Bien que Wikipedia ne donne pas de date précise, l'information de Wikidata est une source acceptable.",Mettre à jour la date de construction de la forteresse de Derbent à 438 selon Wikidata.
a219c013-a4ce-4913-9b83-d6fe52b84aec,L'arianisme devient dominant chez les Goths,0341-01-01,KEEP_ACCEPTABLE,REVIEW,,,true,C,0.6,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"Bien qu'il soit difficile de trouver une date précise pour l'adoption de l'arianisme par les Goths, la description correspond à l'événement décrit dans le titre. L'année 341 est plausible, mais la preuve est faible.",Conserver l'événement avec une note indiquant l'incertitude de la date.
e3f160c4-b4d0-4e48-af6a-53037ca23f5a,Destruction de l'Université de Nalanda,1193-01-01,UPDATE_DATE,REVIEW,Destruction de l'université de Nalanda,,true,B,0.7,INSUFFICIENT_EVIDENCE,annee_exacte_introuvable,"La date exacte est incertaine, il faut donc supprimer la date. Le titre est correct.",Supprimer la date car elle est incertaine. Vérifier si d'autres sources permettent de préciser la date.
