id,current_title,current_date,current_description,status,result_bucket,original_decision,model_decision,proposed_title,proposed_date_iso,confidence,evidence_level,reasoning_short,recommendation,delete_reason,final_decision,reclassification_reason
8b231105-86c5-4ae1-a7f4-5008c9b6cd2a,Création du Parc national de la Vanoise,1964-08-22,"Le 22 août 1964, le Parc national de la Vanoise est créé en France, le premier parc national du pays, pour protéger la faune et la flore alpines.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Création du Parc national de la Vanoise,1963-07-06,0.9,A,La date de création du Parc national de la Vanoise est le 6 juillet 1963 selon Wikidata (P571).,Mettre à jour la date de création avec la date la plus précise disponible sur Wikidata.,,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
7a142d9d-89a5-4997-ae9b-9144caf558ab,Charles de Basse-Lorraine,0991-01-01,"Charles de Basse-Lorraine, prétendant carolingien au trône de France, est capturé en 991 à Orléans par traîtrise de l'évêque Ascelin de Laon, allié d'Hugues Capet. Cette capture marque un tournant décisif dans l'ascension des Capétiens et la marginalisation définitive des Carolingiens.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Charles de Basse-Lorraine,0991-06-12,0.9,A,"La source Wikipédia en français indique clairement que Charles de Basse-Lotharingie est mort le 12 juin 991. La description mentionne des événements de 991, ce qui rend cette date cohérente.","Mettre à jour la date de l'événement au 12 juin 991, date du décès de Charles de Basse-Lotharingie.",,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
fa26be3c-8d68-4313-acc6-a0c84390914f,"Mort d’Alfred le Grand, roi de Wessex",0899-01-01,Mort du roi qui a unifié le Wessex et repoussé les Vikings. Alfred le Grand est resté célèbre pour ses réformes administratives et son soutien à l éducation.,DISPUTED_DATE,date_disputee,REVIEW,UPDATE_BOTH,Mort d'Alfred le Grand,0899-10-26,1,A,Le titre est simplifié et la date est mise à jour selon les sources Wikipédia et Wikidata (date de décès précise).,Mettre à jour le titre et la date de l'événement avec les informations les plus précises disponibles.,,UPDATE_BOTH,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
01fd7b3a-12f9-40ae-ad19-7e3af9875f77,Ouverture du Musée de l’Homme,1938-01-01,"Le Musée de l'Homme ouvre ses portes en 1938 sous l'impulsion de Paul Rivet, ethnologue et directeur du musée. Il incarne une vision pluridisciplinaire de l'étude de l'humanité, intégrant anthropologie physique, ethnologie et préhistoire, dans un contexte de montée des nationalismes et d'intérêt pour les cultures non-occidentales.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Ouverture du Musée de l’Homme,1937-01-01,0.9,A,"Wikidata et Wikipédia indiquent 1937 comme date d'installation du musée dans le Palais de Chaillot. L'ouverture au public a pu être en 1938, mais l'événement initial est bien l'installation en 1937.","Mettre à jour la date avec 1937-01-01, date d'installation selon Wikidata et Wikipedia.",,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
3864230e-c62d-40cd-bba5-ad3bf40df4c2,Guerre de la vache,1303-01-01,"La Guerre de la Vache (1303) : un banal vol de bétail dégénère en conflit sanglant entre la principauté de Liège et le duché de Brabant. Cette querelle féodale, impliquant chevaliers et paysans, ravive les tensions et marque une étape dans les rivalités régionales du Moyen Âge.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Guerre de la vache,1275-01-01,0.9,A,La date actuelle (1303) est incorrecte. Les sources indiquent que la Guerre de la Vache s'est déroulée entre 1275 et 1280. On prend 1275 comme date de début.,"Mettre à jour la date avec 1275-01-01. L'événement est une période, pas un événement singulier.",,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
0a2255ae-f6a7-485e-932f-7300d729e74e,Création de la Société Royale de Médecine,1776-01-01,"La Société Royale de Médecine, fondée en 1776 sous le règne de Louis XVI, visait à centraliser et améliorer les connaissances médicales en France. Des figures clés comme Félix Vicq d'Azyr, son secrétaire perpétuel, ont joué un rôle crucial dans son organisation et son influence sur la santé publique.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Création de la Société Royale de Médecine,1778-01-01,1,A,La date de création de la Société Royale de Médecine est 1778 selon Wikipédia et Wikidata. La description est cohérente avec cette date.,Mettre à jour la date de création de la Société Royale de Médecine à 1778-01-01.,,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
af061fbf-abc7-462e-9513-079556cf4172,Inauguration du Musée d'Art Moderne de Lille Métropole,1974-01-01,"L'inauguration du Musée d'Art Moderne de Lille Métropole (LaM) en 1974, à Villeneuve-d'Ascq, marque une étape importante dans la décentralisation culturelle en France. Le musée est né de la donation par Roger Dutilleul et Jean Masurel de leurs collections d'art moderne, avec le soutien de la Communauté urbaine de Lille.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Inauguration du Musée d'Art Moderne de Lille Métropole,1983-01-01,1,A,"La date d'inauguration du musée est le 1er janvier 1983, selon Wikipédia et Wikidata. La description correspond à cette date.",Mettre à jour la date de l'événement avec la date du 1er janvier 1983.,,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
81f59240-be5b-4cc1-bfa6-3a2c13a67f55,Début de la prédication de Luther et des 95 thèses,1517-01-01,"En 1518, Luther commence à prêcher et à diffuser ses 95 thèses, critiquant les indulgences et marquant le début de la Réforme protestante. Ses idées se propagent rapidement malgré l'opposition initiale.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_BOTH,Publication des 95 thèses,1517-10-31,0.9,A,La date du 31 octobre 1517 est largement acceptée pour la publication des 95 thèses. Le titre est plus concis et standard.,Mettre à jour le titre et la date avec les valeurs proposées.,,UPDATE_BOTH,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
8ed1af99-f299-42bf-8600-8ecaf88d669b,Peary au pôle Nord,1909-01-01,"En 1909, Robert Peary affirme avoir atteint le pôle Nord, bien que sa revendication soit controversée. Cette expédition, qu'elle ait réellement atteint son but ou non, marque une étape importante dans l'exploration de l'Arctique et alimente le mythe de la conquête du pôle.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_TITLE,Revendication de Robert Peary d'avoir atteint le pôle Nord,1909-01-01,0.9,A,Le titre actuel est trop simple et ne reflète pas la controverse. Le titre proposé est plus précis et correspond à la description. La date est conservée car elle est mentionnée dans la description.,Vérifier si d'autres sources confirment la date exacte et la nature controversée de la revendication.,,UPDATE_BOTH,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
93a5c3b3-f48b-43b4-acf1-d99f2a091275,Création de l'Organisation maritime internationale,1948-01-01,La création de l'OMI en 1948 a marqué une étape cruciale dans l'amélioration de la sécurité maritime et la promotion de la coopération internationale dans le domaine maritime. Cette organisation intergouvernementale joue un rôle central dans l'établissement de normes et de réglementations pour une navigation plus sûre et plus durable.,DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Création de l'Organisation maritime internationale,1948-03-17,0.9,A,"L'audit précédent a identifié de manière convaincante le 17 mars 1948 comme date d'ouverture à la signature de la convention créant l'OMI, ce qui est plus précis que la date générique du 1er janvier 1948. Les sources clés identifiées dans l'audit précédent confirment cette date.","Mettre à jour la date au 17 mars 1948, date d'ouverture à la signature de la convention.",,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
b4151014-7abf-4209-89a3-e71f3cba5da0,Mort d’Erik Satie,1925-01-01,"Erik Satie, compositeur avant-gardiste, décède le 1er juillet 1925 à Paris des suites d'une cirrhose. Figure excentrique du Paris artistique, il a influencé des compositeurs comme Debussy et Ravel, et était proche des milieux dadaïstes et surréalistes, notamment Jean Cocteau et Pablo Picasso.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,Mort d’Erik Satie,1925-07-01,1,A,"La date de décès d'Erik Satie est le 1er juillet 1925, confirmée par plusieurs sources dont Wikipédia et Wikidata.","Mettre à jour la date de l'événement avec la date correcte du décès d'Erik Satie, soit le 1er juillet 1925.",,UPDATE_DATE,Conflit de date tranché par priorité à la date de l’acte public singulier avec titre suffisamment précis.
