id,current_title,current_date,current_description,status,result_bucket,original_decision,model_decision,proposed_title,proposed_date_iso,confidence,evidence_level,reasoning_short,recommendation,delete_reason,final_decision,reclassification_reason
a48bbd06-c46f-455e-9e40-5998d815f3f4,Première attribution du Prix Goncourt,1901-12-01,"Le 1er décembre 1901, le premier Prix Goncourt est attribué à John-Antoine Nau pour ""Force ennemie"", inaugurant le plus prestigieux prix littéraire français.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,,1903-12-21,1,A,"La date de la première attribution du Prix Goncourt est le 21 décembre 1903, selon Wikipédia et Wikidata. La description doit être mise à jour pour refléter cette date.",Mettre à jour la date à 1903-12-21 et modifier la description pour qu'elle corresponde à la date correcte.,,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
6ce54a90-a8cf-4704-b0b9-c0b77f798e18,Shakespeare écrit Hamlet,1601-01-01,"William Shakespeare écrit 'Hamlet', une tragédie majeure explorant la vengeance, la moralité et la folie. Cette œuvre emblématique a profondément influencé le théâtre et la littérature mondiale, et reste l'une des pièces les plus jouées et étudiées au monde.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_TITLE,Première publication d'Hamlet,1603-01-01,0.8,B,La première publication d'Hamlet date de 1603. Le titre est plus précis que 'Shakespeare écrit Hamlet'.,"Vérifier s'il existe des preuves de publications antérieures à 1603, malgré la prédominance de cette date dans les sources.",,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
422d0fa7-49ce-4776-88e1-5a384c474ddc,Fondation de l' abbaye de Cluny par Guillaume le Pieux,0909-01-01,"En 909, Guillaume Ier, duc d'Aquitaine, surnommé Guillaume le Pieux, fonde l'abbaye de Cluny. Cette fondation est notable car Guillaume renonce à tout contrôle sur l'abbaye, la plaçant directement sous l'autorité du pape, une décision novatrice qui contribue à l'indépendance et au prestige de Cluny.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_BOTH,Fondation de l'abbaye de Cluny,0910-09-11,0.8,B,"Le titre est amélioré en supprimant la mention de Guillaume le Pieux, car l'événement principal est la fondation de l'abbaye. La date la plus précise et la plus souvent mentionnée est le 11 septembre 910.",Mettre à jour la date au 11 septembre 910 et mentionner l'incertitude avec 909 dans la description détaillée.,,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
90ce3870-3e7d-4349-8fab-66fca7442f1c,Premières batailles entre Francs et Normands,0804-01-01,"En 804, sous le règne de Charlemagne, les premières escarmouches entre les Francs et les Vikings (souvent appelés 'Normands' de manière anachronique à cette époque) ont lieu le long des côtes de la Gaule franque. Ces raids initiaux, bien que de faible envergure, marquent le début d'une longue période de tensions et de conflits.",AMBIGUOUS_TITLE,titre_ambigu_ou_collision,REVIEW,UPDATE_TITLE,Premiers raids vikings en Gaule franque,0804-01-01,0.9,B,"Le titre 'Raids Vikings en Gaule' est acceptable, mais 'Premiers raids vikings en Gaule franque' est plus précis et correspond mieux à la description. L'année 804 est mentionnée dans la description comme le début de ces raids. On considère cet événement comme singulier car il marque le début d'une série de raids.",Vérifier si des sources permettent de préciser la localisation exacte des raids. Croiser avec d'autres sources pour confirmer la date et la nature des raids.,,REVIEW,Cas conservé en revue manuelle après application des règles éditoriales renforcées.
14809096-67aa-421d-b011-941519b7cdfd,Achèvement du temple Ginkaku-ji à Kyoto,1498-01-01,"Le Ginkaku-ji (Temple du Pavillon d'Argent) fut achevé sous la supervision du shogun Ashikaga Yoshimasa qui en fit sa villa de retraite. Ce temple zen reflète l'apogée de la culture Higashiyama, période d'épanouissement des arts japonais.",DISPUTED_DATE,date_disputee,REVIEW,REVIEW,,,0.5,C,"La date d'achèvement du temple Ginkaku-ji est incertaine. Les sources actuelles indiquent des dates de début de construction en 1465 et 1490, mais pas de date d'achèvement claire. La date de 1498 reste non confirmée.",Rechercher des sources supplémentaires pour confirmer la date d'achèvement du temple Ginkaku-ji. Vérifier si la date de 1498 correspond à un événement significatif lié au temple.,,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
423c7721-87a2-4ac3-ba08-42cac0ee3e7f,Le 'canular de l'homme de Piltdown',1912-01-01,"Piltdown, 1912 : la ""découverte"" d'un crâne, faussement présenté comme l'""homme chaînon manquant"", enflamme la science. Ce canular retentissant ébranla la paléontologie et révéla les biais et ambitions qui peuvent obscurcir la recherche de nos origines.",DISPUTED_DATE,date_disputee,REVIEW,KEEP,,,1,A,Le titre et la date sont corrects et cohérents avec la description. L'événement est bien documenté et le titre est clair.,Aucune modification nécessaire.,,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
7a4815b7-a011-4e18-8296-fc9757be5b9b,Construction du Palais de Topkapi à Constantinople,1465-01-01,"Mehmed II le Conquérant fait construire le Palais de Topkapi comme nouveau siège du pouvoir ottoman après la prise de Constantinople (1453). L'architecte principal Atik Sinan supervise la première phase de construction sur la pointe du Sarayburnu, dominant le Bosphore.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,,1460-01-01,0.7,B,"Wikidata indique 1460 comme date de début de construction, ce qui est cohérent avec la description qui mentionne le début de la construction après la prise de Constantinople en 1453.","Mettre à jour la date avec 1460-01-01, car c'est la date la plus ancienne et la plus fréquente dans les sources.",,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
dcf7029a-124c-44d1-b070-1dbe112993d3,Conversion de Clovis,0498-12-25,"Le 25 décembre 496, Clovis se convertit au christianisme à Reims, marquant l'alliance entre les Francs et l'Église catholique.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,,,0.9,A,"La date exacte de la conversion de Clovis est incertaine et débattue par les historiens. Les sources suggèrent 498 ou 499 comme dates possibles, mais d'autres hypothèses existent.",Supprimer la date précise et indiquer une période plus large (fin du Ve siècle) ou mentionner l'incertitude de la date dans la description.,,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
63624f79-66c8-4b4c-97cd-ee142a1683ac,Début de la construction du château de Bran,1377-01-01,"En 1377, la construction du château de Bran débute. Forteresse stratégique en Transylvanie médiévale, elle contrôlait une importante route commerciale reliant la Valachie et la Transylvanie. Son histoire est souvent associée à la légende de Dracula.",DISPUTED_DATE,date_disputee,REVIEW,UPDATE_DATE,,1289-01-01,0.9,B,"Wikidata indique 1289 comme date de début de construction. L'article Wikipedia ne donne pas d'année précise, mais mentionne une construction par les chevaliers Teutoniques au début du XIIIe siècle. 1289 est donc une date plus probable que 1377.",Mettre à jour la date de début de construction du château de Bran avec 1289.,,REVIEW,Cas disputé conservé en revue faute de titre assez précis ou de convention de date suffisamment stabilisée.
74cab55a-0fe8-44ae-ae21-0f3808675002,Lois Jim Crow (États-Unis),1877-01-01,"Les lois Jim Crow, nées en 1877, instaurent une ségrégation raciale stricte aux États-Unis. Elles privent les Afro-Américains de leurs droits civiques, les marginalisant et perpétuant l'inégalité jusqu'au milieu du XXe siècle.",POTENTIAL_DATE_ERROR,divergence_date,REVIEW,DELETE,,,1,A,Les lois Jim Crow représentent une période de ségrégation et non un événement unique. La description et les sources confirment qu'il s'agit d'une série de lois appliquées sur plusieurs années.,Supprimer l'entrée car elle décrit une période historique et non un événement ponctuel.,L'événement décrit une période et non un événement ponctuel. Il s'agit d'un ensemble de lois promulguées sur une longue durée.,REVIEW,Cas conservé en revue manuelle après application des règles éditoriales renforcées.
